cytokine,cell
CCL2,CL_0000312
IL33,CL_0000763
IL17A,CL_0000127
IFNA,CL_0000066
CLCF1,CL_0002309
IL6,CL_0000162
LIF,CL_0000084
TGFB,CL_0000365
IL1RN,CL_0000066
IL4,CL_0000788
FGF1,CL_0000138
IL1A,CL_0002138
IL7,CL_1001607
IL12,CL_0000787
CX3CL1,CL_0000786
CCL6,CL_0000136
CCL5,CL_0000793
CXCL5,CL_0000584
IL25,CL_0000066
CSF2,CL_0000548
IL1A,CL_0000091
IL23,CL_0000542
CXCL1,CL_0000312
TNF,CL_0000322
GDF15,CL_0000034
IL17,CL_0000125
TNF,CL_0000794
CSF2,CL_0000082
GDF15,CL_0000188
IL2,CL_0000081
CSF3,CL_0000127
OSM,CL_0000312
CSF1,CL_0002334
IL6,CL_0000793
CXCL9,CL_0000625
IL7,CL_0000066
IL7,CL_0000235
CCL2,CL_0000890
CXCL5,CL_0002328
EPO,CL_0000515
IFNG,CL_0002620
IL12,CL_0000362
IL1B,CL_0002393
CCL3,CL_0000312
CCL21,CL_0000499
CSF1,CL_0000091
CCL6,CL_0000540
CCL5,CL_0002368
IL33,CL_0000038
PPBP,CL_0000499
IL1RN,CL_0000236
IFN1,CL_0000836
CXCL8,CL_0000148
PDGFA,CL_0000233
IL17A,CL_0000499
IL1,CL_0000091
IL1RN,CL_0000216
IFNA,CL_0000824
CCL11,CL_0000236
CCL20,CL_0000136
IL33,CL_0000062
CXCL12,CL_0002293
IL1,CL_0000192
CXCL12,CL_1000490
CSF2,CL_0000049
CXCL13,CL_0000451
IL7,CL_0002138
TGFB2,CL_0000546
IL36RN,CL_0000312
CXCL2,CL_0000546
IL18,CL_0000647
IL10,CL_0000793
IFNA,CL_0000942
IL5,CL_0000235
CCL7,CL_0000785
IL12B,CL_0000125
EGF,CL_0000501
CCL22,CL_0000902
CSF2,CL_0002548
TNFSF13B,CL_0000576
CCL2,CL_0002328
CXCL12,CL_0000653
IL32,CL_0000236
CCL3,CL_0000134
IL2,CL_0002461
IL17,CL_0000129
PDGFB,CL_0000057
TGFA,CL_0002321
TNF,CL_0000786
IL4,CL_0000897
CCL6,CL_0002063
CCL3,CL_0000540
IL1RN,CL_0000129
IL17,CL_0000623
IL10,CL_0002303
IL16,CL_0000322
IL22,CL_0000097
TGFA,CL_0000576
TGF,CL_0000216
IL12B,CL_0000787
CCL7,CL_0000236
IL1,CL_0000711
GDF15,CL_0000786
IL10,CL_0000192
IFNB1,CL_0000148
CSF1,CL_0000233
CCL20,CL_0000057
IL15,CL_0000182
CXCL11,CL_0000312
IL25,CL_0000236
KITLG,CL_0000632
CXCL8,CL_0002586
IFNG,CL_0002476
CXCL13,CL_0000066
PPBP,CL_0000893
CSF2,CL_0002620
IL10,CL_0002061
IL2,CL_0000813
CSF2,CL_0000653
IL3,CL_0000236
CXCL16,CL_1000488
IL1B,CL_0000145
IL2,CL_0000902
CD40LG,CL_0000097
CCL21,CL_0002138
IL4,CL_0000905
IL12B,CL_0000453
CCL2,CL_0002397
CXCL5,CL_0000057
IL6,CL_0011003
IL22,CL_0000583
IL27,CL_0000763
IL17A,CL_0000910
CCL22,CL_0000451
IL21,CL_0000545
CCL7,CL_0000540
CCL2,CL_0000322
LIF,CL_0000738
IL7,CL_0000134
IL7,CL_0000138
CXCL2,CL_0002563
IL1RN,CL_1001607
IL2,CL_0000895
CCL8,CL_0000312
IL10,CL_0000307
CCL26,CL_0000136
IL17F,CL_0000624
CCL20,CL_0000235
IL1,CL_1000490
CXCL12,CL_0000501
CXCL8,CL_0000451
IL1,CL_0000359
CSF3,CL_0000312
IL12B,CL_0000942
CXCL12,CL_1000491
IL4,CL_0000499
CX3CL1,CL_0000188
IL1B,CL_0000081
CCL2,CL_0000096
TNF,CL_0000822
CXCL13,CL_0000540
IL17,CL_0000182
IL21,CL_0000793
CXCL8,CL_0000625
CCL1,CL_0000097
IL13,CL_0000814
IL10,CL_0000796
CCL4L2,CL_0000235
CCL23,CL_0000771
IL6,CL_0000061
CCL9,CL_0000235
TGFB2,CL_0000809
IL10,CL_0000989
IL12B,CL_0000056
CCL11,CL_0002085
CSF3,CL_0000214
IL10,CL_0000980
IL1,CL_0000815
IL1B,CL_0002621
CSF2,CL_0000138
IL23,CL_0000624
IL17A,CL_0000576
IL1B,CL_0000871
IL5,CL_0000912
IL12A,CL_0000236
IL9,CL_0000546
IL22,CL_0000625
CXCL8,CL_0002363
EPO,CL_0000236
IL13,CL_0000545
IL10,CL_0000047
TGFA,CL_0000216
TGFB,CL_1001607
CCL22,CL_0000084
IL17,CL_0000037
CCL3,CL_0000583
CCL2,CL_0000676
IL11,CL_0000066
CXCL2,CL_0000866
IL1,CL_0000169
IL1B,CL_0000820
TGFB1,CL_0000398
CCL4L2,CL_0000034
CCL26,CL_0002140
IL6,CL_0000137
CCL7,CL_0002139
IL7,CL_0000584
IL17,CL_0000814
PPBP,CL_0000066
CCL2,CL_0002064
TGFB,CL_0000553
IL6,CL_0002322
IL13,CL_0000890
CXCL8,CL_0002247
CCL1,CL_0000546
CSF2,CL_0000912
CCL2,CL_0000169
