cytokine,cell,Cell ontology Label
TGFB,CL_0000653,glomerular visceral epithelial cell
IL2,CL_0000815,regulatory T cell
IL25,CL_0000771,eosinophil
IL3,CL_0000775,neutrophil
IL6,CL_0000062,osteoblast
CCL2,CL_0000775,neutrophil
CSF3,CL_0000233,platelet
IL17,CL_0000899,T-helper 17 cell
TNF,CL_0002544,aortic endothelial cell
TGFB1,CL_0000236,B cell
TNF,CL_0000893,thymocyte
EPO,CL_0002619,adult endothelial progenitor cell
IL15,CL_0000775,neutrophil
IL13,CL_0002368,respiratory epithelial cell
IL4,CL_0000129,microglial cell
IFNG,CL_0000746,cardiac muscle cell
CSF3,CL_0000542,lymphocyte
EPO,CL_0000765,erythroblast
TGFB,CL_0000650,mesangial cell
TNF,CL_0002334,preadipocyte
FGF2,CL_0002544,aortic endothelial cell
TGFB,CL_0000214,synovial cell
CD40LG,CL_0000624,"CD4-positive, alpha-beta T cell"
HGF,CL_0000057,fibroblast
EPO,CL_0000540,neuron
IL15,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
IL15,CL_0000624,"CD4-positive, alpha-beta T cell"
IL23,CL_0000624,"CD4-positive, alpha-beta T cell"
TGFB1,CL_0000060,odontoblast
IFNB1,CL_0000623,natural killer cell
IL1B,CL_0000499,stromal cell
IL25,CL_0000546,T-helper 2 cell
TGFB,CL_0000542,lymphocyte
FGF2,CL_0000499,stromal cell
CD40LG,CL_0000738,leukocyte
IL17,CL_0000115,endothelial cell
CXCL10,CL_0000623,natural killer cell
IL1,CL_0000236,B cell
TNF,CL_0000359,vascular associated smooth muscle cell
IFNA,CL_0000625,"CD8-positive, alpha-beta T cell"
IL2,CL_0000545,T-helper 1 cell
IL17A,CL_0000235,macrophage
TNF,CL_0000125,glial cell
TGFB,CL_0000037,hematopoietic stem cell
CSF1,CL_0000581,peritoneal macrophage
IFNG,CL_0000037,hematopoietic stem cell
FGF2,CL_0000128,oligodendrocyte
IL27,CL_0000625,"CD8-positive, alpha-beta T cell"
TNF,CL_0000583,alveolar macrophage
IL12B,CL_0000545,T-helper 1 cell
TGFB1,CL_0000077,mesothelial cell
CSF3,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
TNF,CL_0000096,mature neutrophil
IL15,CL_0000236,B cell
IL2,CL_0000576,monocyte
IL10,CL_0000542,lymphocyte
IFNG,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
CCL2,CL_0000115,endothelial cell
IFNA,CL_0000738,leukocyte
TNF,CL_0002368,respiratory epithelial cell
IL10,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
IL5,CL_0000084,T cell
IL1A,CL_0000115,endothelial cell
CSF3,CL_0000115,endothelial cell
IL1B,CL_0000129,microglial cell
TGFB1,CL_0000037,hematopoietic stem cell
IL1B,CL_0000066,epithelial cell
TGF,CL_0000057,fibroblast
CSF3,CL_0000540,neuron
GDF15,CL_0000746,cardiac muscle cell
IL17,CL_0000312,keratinocyte
SPP1,CL_0000235,macrophage
TGFB,CL_0000056,myoblast
IFNG,CL_0000546,T-helper 2 cell
TGFB1,CL_0000623,natural killer cell
FGF2,CL_0000312,keratinocyte
IL1B,CL_0000092,osteoclast
EPO,CL_0000556,megakaryocyte
FGF2,CL_0000092,osteoclast
IL3,CL_0000038,erythroid progenitor cell
TGFB,CL_0000771,eosinophil
TGFB,CL_0000902,induced T-regulatory cell
IL1,CL_0000312,keratinocyte
IL18,CL_0000576,monocyte
IFNA,CL_0000775,neutrophil
IL18,CL_0000624,"CD4-positive, alpha-beta T cell"
IL6,CL_0000127,astrocyte
IL17,CL_0000057,fibroblast
IL6,CL_0000893,thymocyte
IL4,CL_0000451,dendritic cell
IL33,CL_0000084,T cell
IL3,CL_0000037,hematopoietic stem cell
IL1A,CL_0000775,neutrophil
FGF2,CL_0002139,endothelial cell of vascular tree
IL1,CL_0000499,stromal cell
LIF,CL_0000540,neuron
IL10,CL_0000815,regulatory T cell
CXCL12,CL_0000738,leukocyte
IFNG,CL_0000092,osteoclast
IL17,CL_0000084,T cell
IL3,CL_0000738,leukocyte
IL13,CL_0000771,eosinophil
IL1A,CL_0000084,T cell
TNF,CL_0000187,muscle cell
IL22,CL_0001042,T-helper 22 cell
IFNG,CL_0000557,granulocyte monocyte progenitor cell
TNFSF9,CL_0000576,monocyte
CXCL8,CL_0000066,epithelial cell
CSF1,CL_0000057,fibroblast
IL1,CL_0000062,osteoblast
CCL11,CL_0000767,basophil
TNF,CL_0000169,type B pancreatic cell
IL17,CL_0000062,osteoblast
CXCL8,CL_0000096,mature neutrophil
IL7,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
RETN,CL_0000115,endothelial cell
IL2,CL_0002092,bone marrow cell
TGFA,CL_0000066,epithelial cell
IL6,CL_0000138,chondrocyte
GDF15,CL_0000540,neuron
TGFB1,CL_0000625,"CD8-positive, alpha-beta T cell"
IL6,CL_0000557,granulocyte monocyte progenitor cell
CD40LG,CL_0000625,"CD8-positive, alpha-beta T cell"
IL6,CL_0000763,myeloid cell
TNF,CL_0000625,"CD8-positive, alpha-beta T cell"
IL23,CL_0000899,T-helper 17 cell
TGFB1,CL_0000540,neuron
CCL9,CL_0000092,osteoclast
EGF,CL_0000182,hepatocyte
CCL27,CL_0000084,T cell
IL1B,CL_0000084,T cell
CCL4,CL_0000235,macrophage
IL12,CL_0000576,monocyte
IL4,CL_0000738,leukocyte
TGFB,CL_0000034,stem cell
CXCL12,CL_0000233,platelet
CXCL8,CL_0000235,macrophage
IFNG,CL_0000583,alveolar macrophage
TGFB1,CL_0000632,hepatic stellate cell
CXCL8,CL_0002328,bronchial epithelial cell
TGFB,CL_0000899,T-helper 17 cell
CSF3,CL_0002619,adult endothelial progenitor cell
IL3,CL_0000092,osteoclast
MIF,CL_0000738,leukocyte
IL1B,CL_0000650,mesangial cell
IL17,CL_0000214,synovial cell
FGF2,CL_0000125,glial cell
FGF2,CL_0000359,vascular associated smooth muscle cell
IFNG,CL_0000824,mature natural killer cell
TGF,CL_0000134,mesenchymal cell
IL33,CL_0000775,neutrophil
TGFB1,CL_0000034,stem cell
CSF2,CL_0000236,B cell
IFNA,CL_0000545,T-helper 1 cell
TGFB,CL_0000738,leukocyte
