cytokine,cell,Cell ontology Label
IL4,CL_0000556,megakaryocyte
PPBP,CL_0000134,mesenchymal cell
LIF,CL_0000056,myoblast
IL6,CL_0000492,CD4-positive helper T cell
IL25,CL_0000451,dendritic cell
CXCL16,CL_0000115,endothelial cell
IFNG,CL_0000669,pericyte cell
EPO,CL_0000057,fibroblast
CSF3,CL_0000586,germ cell
Monocyte-CSF,CL_0000084,T cell
IFNA,CL_0000899,T-helper 17 cell
IL17A,CL_0000388,tendon cell
TGF,CL_0002327,mammary epithelial cell
IL23,CL_0000066,epithelial cell
IL1,CL_0000837,hematopoietic multipotent progenitor cell
IL2,CL_0000546,T-helper 2 cell
IFNA,CL_0000169,type B pancreatic cell
HGF,CL_0002619,adult endothelial progenitor cell
CCL4,CL_0000624,"CD4-positive, alpha-beta T cell"
IL6,CL_0000047,neuronal stem cell
CXCL12,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
IL21,CL_0000815,regulatory T cell
CCL15,CL_0000839,myeloid lineage restricted progenitor cell
TGFB,CL_1001607,articular chondrocyte
IL6,CL_0000120,granule cell
THPO,CL_0000746,cardiac muscle cell
IL17,CL_0000037,hematopoietic stem cell
IL4,CL_0002608,hippocampal neuron
IFNG,CL_0000359,vascular associated smooth muscle cell
IL21,CL_0000787,memory B cell
FGF1,CL_0000129,microglial cell
IL1RN,CL_0000576,monocyte
CCL5,CL_0000583,alveolar macrophage
HGF,CL_0000763,myeloid cell
CCL2,CL_0000676,cap cell
CX3CL1,CL_0000540,neuron
IL13,CL_0000182,hepatocyte
IL25,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
CXCL8,CL_0000592,large luteal cell
IL22,CL_0002368,respiratory epithelial cell
IL32,CL_0000775,neutrophil
IL7,CL_0000062,osteoblast
PDGF,CL_0000669,pericyte cell
HGF,CL_0000584,enterocyte
IL17,CL_0000233,platelet
TNF,CL_0000121,Purkinje cell
CX3CL1,CL_0000084,T cell
CD40LG,CL_0000784,plasmacytoid dendritic cell
IL33,CL_0000066,epithelial cell
PDGFB,CL_0000214,synovial cell
IL18,CL_0000679,glutamatergic neuron
IL11,CL_0000746,cardiac muscle cell
CCL20,CL_0000037,hematopoietic stem cell
IFNB1,CL_0000540,neuron
IL1A,CL_0000624,"CD4-positive, alpha-beta T cell"
XCL1,CL_0002092,bone marrow cell
TNFSF9,CL_0000047,neuronal stem cell
TNF,CL_0000889,myeloid suppressor cell
CSF3,CL_0000062,osteoblast
GDF15,CL_0000137,osteocyte
TGFB2,CL_0002138,endothelial cell of lymphatic vessel
IL7,CL_0002033,short term hematopoietic stem cell
CCL4,CL_0000057,fibroblast
TNF,CL_0000135,fibrocyte
HGF,CL_0000738,leukocyte
PPBP,CL_0000545,T-helper 1 cell
TGFB,CL_0001042,T-helper 22 cell
LIF,CL_0000312,keratinocyte
IL5,CL_0000820,B-1a B cell
CSF3,CL_0000351,trophoblast cell
IL2,CL_0000911,effector T cell
PDGFA,CL_0002224,lens epithelial cell
IL10,CL_0000786,plasma cell
CXCL16,CL_0000625,"CD8-positive, alpha-beta T cell"
TGFB,CL_0000669,pericyte cell
IL1B,CL_0000584,enterocyte
IL13,CL_0000899,T-helper 17 cell
IL25,CL_0000863,inflammatory macrophage
CSF1,CL_0000893,thymocyte
CCL2,CL_1000497,kidney cell
IFNG,CL_0002322,embryonic stem cell
PDGF,CL_0002544,aortic endothelial cell
CSF1,CL_0000037,hematopoietic stem cell
TNFSF9,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
IL1B,CL_1001567,lung endothelial cell
PDGFB,CL_0000127,astrocyte
TGF,CL_0000815,regulatory T cell
IL17A,CL_0000125,glial cell
IL2,CL_0002038,T follicular helper cell
IFN1,CL_0000182,hepatocyte
IL22,CL_0000623,natural killer cell
IL10,CL_0000138,chondrocyte
CCL4,CL_0000115,endothelial cell
TGFB1,CL_0000137,osteocyte
IL12,CL_0000145,professional antigen presenting cell
IFNA,CL_0000082,epithelial cell of lung
IL18,CL_0000236,B cell
TGFB,CL_0000545,T-helper 1 cell
CXCL8,CL_0000542,lymphocyte
CXCL1,CL_0000096,mature neutrophil
SPP1,CL_0002548,cardiac fibroblast
IL1A,CL_0000912,helper T cell
EGF,CL_0000540,neuron
TGFB,CL_0000911,effector T cell
CCL11,CL_0000738,leukocyte
IL23,CL_0000235,macrophage
CSF1,CL_0002372,myotube
IL5,CL_0000775,neutrophil
TGFB1,CL_0000451,dendritic cell
TNF,CL_0000669,pericyte cell
IL1,CL_0000362,epidermal cell
IL21,CL_0000844,germinal center B cell
TGFB,CL_1000497,kidney cell
IL33,CL_1000488,cholangiocyte
CCL5,CL_0000097,mast cell
IL17,CL_0000771,eosinophil
IL1B,CL_0000160,goblet cell
IL1RN,CL_0000746,cardiac muscle cell
IL1B,CL_0000545,T-helper 1 cell
TGFB1,CL_0000169,type B pancreatic cell
FGF2,CL_0000061,cementoblast
IL15,CL_0000576,monocyte
IL18,CL_0000115,endothelial cell
IL1B,CL_0000125,glial cell
TGFB,CL_0000501,granulosa cell
TGFB1,CL_0002563,intestinal epithelial cell
IL11,CL_0000062,osteoblast
IL6,CL_0002079,pancreatic ductal cell
IL17F,CL_0002139,endothelial cell of vascular tree
MIF,CL_0000771,eosinophil
IL6,CL_0000145,professional antigen presenting cell
IFNG,CL_0000798,gamma-delta T cell
CCL6,CL_0000084,T cell
TNFSF15,CL_0002061,T-helper 9 cell
FGF2,CL_0000542,lymphocyte
CCL3,CL_0000767,basophil
GDF15,CL_0000623,natural killer cell
CSF1,CL_0000746,cardiac muscle cell
IL23,CL_0000912,helper T cell
IL1,CL_0000545,T-helper 1 cell
IL15,CL_0000910,cytotoxic T cell
SPP1,CL_0000625,"CD8-positive, alpha-beta T cell"
PF4V1,CL_0000115,endothelial cell
TNFSF9,CL_0000542,lymphocyte
CCL2,CL_0000077,mesothelial cell
IL6,CL_0002372,myotube
TGFB2,CL_0002609,neuron of cerebral cortex
CCL20,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
IL9,CL_0000775,neutrophil
CXCL16,CL_0000084,T cell
TGFB2,CL_0000084,T cell
CCL2,CL_0000091,Kupffer cell
IL17A,CL_0000542,lymphocyte
CCL2,CL_0000451,dendritic cell
CXCL12,CL_0002138,endothelial cell of lymphatic vessel
CXCL8,CL_1001607,articular chondrocyte
TGFB1,CL_0000061,cementoblast
CCL25,CL_0000542,lymphocyte
IL6,CL_0002629,mature microglial cell
TGFB,CL_0000218,myelinating Schwann cell
CXCL13,CL_0000624,"CD4-positive, alpha-beta T cell"
IL1B,CL_0000575,corneal epithelial cell
CCL20,CL_0000911,effector T cell
TGFB,CL_0000581,peritoneal macrophage
TNFSF9,CL_0000815,regulatory T cell
IL21,CL_0000057,fibroblast
IL1A,CL_0000134,mesenchymal cell
IL18,CL_0002483,hair follicle melanocyte
CCL11,CL_0000546,T-helper 2 cell
TNF,CL_0000871,splenic macrophage
CSF2,CL_0000912,helper T cell
CSF2,CL_0000546,T-helper 2 cell
IL1B,CL_0000056,myoblast
CXCL1,CL_0000115,endothelial cell
IL22,CL_0000510,paneth cell
TGFB1,CL_0000559,promonocyte
IL4,CL_0000917,Tc1 cell
CCL20,CL_0002327,mammary epithelial cell
PF4,CL_0000576,monocyte
CXCL8,CL_0000767,basophil
CXCL6,CL_0000236,B cell
IL22,CL_0000182,hepatocyte
IL13,CL_0000546,T-helper 2 cell
IL1A,CL_0000910,cytotoxic T cell
CCL5,CL_0000169,type B pancreatic cell
CXCL8,CL_0002322,embryonic stem cell
CCL21,CL_0000738,leukocyte
IL32,CL_0000235,macrophage
IL6,CL_0000077,mesothelial cell
CCL18,CL_0000624,"CD4-positive, alpha-beta T cell"
CSF2,CL_0000047,neuronal stem cell
TNF,CL_0000362,epidermal cell
CXCL13,CL_0000138,chondrocyte
IFNB1,CL_0002138,endothelial cell of lymphatic vessel
CCL2,CL_0000233,platelet
IL15,CL_0000021,female germ cell
IL2,CL_0000034,stem cell
IL22,CL_0000084,T cell
MIF,CL_0000746,cardiac muscle cell
CSF3,CL_0002608,hippocampal neuron
CXCL8,CL_0000731,urothelial cell
CXCL14,CL_0000738,leukocyte
CSF3,CL_0000129,microglial cell
IL34,CL_0000890,alternatively activated macrophage
TNFSF8,CL_0000236,B cell
IL32,CL_0002328,bronchial epithelial cell
CD40LG,CL_0000911,effector T cell
CCL7,CL_0000771,eosinophil
IL5,CL_0000542,lymphocyte
IFNB1,CL_0000066,epithelial cell
IL1B,CL_0000453,Langerhans cell
IL17,CL_0000122,stellate cell
IFNG,CL_0000912,helper T cell
CXCL12,CL_0000545,T-helper 1 cell
IL33,CL_0000779,multinuclear osteoclast
CCL9,CL_0002092,bone marrow cell
IL2,CL_0000492,CD4-positive helper T cell
IL2,CL_0000451,dendritic cell
HGF,CL_0007011,enteric neuron
TNFSF14,CL_0000836,promyelocyte
THPO,CL_0000037,hematopoietic stem cell
CXCL8,CL_0000899,T-helper 17 cell
IL6,CL_0000558,reticulocyte
TGFA,CL_0000057,fibroblast
IL17,CL_0000624,"CD4-positive, alpha-beta T cell"
IL15,CL_0000312,keratinocyte
EGF,CL_0000169,type B pancreatic cell
FGF1,CL_0002619,adult endothelial progenitor cell
IL6,CL_0002092,bone marrow cell
CCL27,CL_0000624,"CD4-positive, alpha-beta T cell"
IFNG,CL_0000047,neuronal stem cell
IFNB1,CL_0000581,peritoneal macrophage
FGF2,CL_0000514,smooth muscle myoblast
EPO,CL_0000084,T cell
IL1A,CL_0000623,natural killer cell
CCL20,CL_0000062,osteoblast
IL1B,CL_0002138,endothelial cell of lymphatic vessel
TGFA,CL_1001607,articular chondrocyte
TGFB1,CL_1001319,bladder cell
IL32,CL_0000624,"CD4-positive, alpha-beta T cell"
IL1B,CL_0002608,hippocampal neuron
CXCL8,CL_0000129,microglial cell
GDF15,CL_0000129,microglial cell
CCL22,CL_0000583,alveolar macrophage
TNF,CL_0000449,brown fat cell
IL35,CL_0000625,"CD8-positive, alpha-beta T cell"
PPBP,CL_0000738,leukocyte
LTA,CL_0000542,lymphocyte
TGFB1,CL_0000122,stellate cell
LTA,CL_0000057,fibroblast
IL1B,CL_0000622,acinar cell
TDGF1P3,CL_0000056,myoblast
TGFA,CL_0000623,natural killer cell
CXCL5,CL_0000115,endothelial cell
CCL11,CL_0000611,eosinophil progenitor cell
CCL3,CL_0000632,hepatic stellate cell
IL18,CL_0000503,theca cell
IL17A,CL_0002363,keratocyte
TGFA,CL_0000115,endothelial cell
CCL22,CL_0000784,plasmacytoid dendritic cell
IL6,CL_0009004,retinal cell
IL1,CL_0000746,cardiac muscle cell
IFNA,CL_0000540,neuron
IL17,CL_0000384,ligament cell
CCL16,CL_0000771,eosinophil
IL33,CL_0000499,stromal cell
IL1,CL_0000125,glial cell
IL3,CL_0000839,myeloid lineage restricted progenitor cell
HGF,CL_0000451,dendritic cell
IL16,CL_0000235,macrophage
CCL15,CL_0000115,endothelial cell
TGFB1,CL_0000135,fibrocyte
CSF3,CL_0000081,blood cell
IL2,CL_0000037,hematopoietic stem cell
IL11,CL_0000359,vascular associated smooth muscle cell
TGFA,CL_0000235,macrophage
IL9,CL_0000312,keratinocyte
CXCL11,CL_0000542,lymphocyte
IFNG,CL_0000763,myeloid cell
CD70,CL_0000236,B cell
EPO,CL_0002144,capillary endothelial cell
IFNG,CL_0002224,lens epithelial cell
IL17,CL_0000092,osteoclast
IL1,CL_0000786,plasma cell
TNF,CL_0000322,pneumocyte
TGFB,CL_0002368,respiratory epithelial cell
CXCL11,CL_0000625,"CD8-positive, alpha-beta T cell"
PDGF,CL_0000062,osteoblast
TGFB,CL_0000765,erythroblast
IL4,CL_0000192,smooth muscle cell
IL1B,CL_0000863,inflammatory macrophage
GDF15,CL_0002322,embryonic stem cell
IL4,CL_0000092,osteoclast
IL4,CL_0002544,aortic endothelial cell
TNFSF9,CL_0000763,myeloid cell
RETN,CL_0000182,hepatocyte
MIF,CL_0000785,mature B cell
IFNG,CL_0000898,naive T cell
IL6,CL_0000815,regulatory T cell
EGF,CL_0000019,sperm
IL17,CL_0000125,glial cell
IFNA2,CL_0000084,T cell
IL21,CL_0002563,intestinal epithelial cell
CXCL12,CL_0000062,osteoblast
CCL2,CL_0002139,endothelial cell of vascular tree
TGFB,CL_0000188,skeletal muscle cell
TDGF1P3,CL_0000034,stem cell
IFNG,CL_0000442,follicular dendritic cell
IL23,CL_0001042,T-helper 22 cell
IL6,CL_0000037,hematopoietic stem cell
OSM,CL_0000312,keratinocyte
RETN,CL_0000359,vascular associated smooth muscle cell
TGFB2,CL_0000235,macrophage
IL3,CL_0000576,monocyte
IL23,CL_0002548,cardiac fibroblast
IL1B,CL_0000708,leptomeningeal cell
IL18,CL_0000066,epithelial cell
HGF,CL_0000186,myofibroblast cell
IL6,CL_0000584,enterocyte
IFNG,CL_0000362,epidermal cell
IFNG,CL_0000844,germinal center B cell
TGFB1,CL_0000910,cytotoxic T cell
IL15,CL_0000814,mature NK T cell
IL1RN,CL_0000084,T cell
CXCL10,CL_0001041,"CD8-positive, CXCR3-positive, alpha-beta regulatory T cell"
CCL18,CL_0000542,lymphocyte
CCL26,CL_0000129,microglial cell
CSF3,CL_0000624,"CD4-positive, alpha-beta T cell"
HGF,CL_0000134,mesenchymal cell
TGFA,CL_0000501,granulosa cell
CCL26,CL_0000576,monocyte
IL7,CL_0002563,intestinal epithelial cell
TGFB,CL_0000909,"CD8-positive, alpha-beta memory T cell"
EGF,CL_0000233,platelet
IL23,CL_0002620,skin fibroblast
PDGF,CL_0000037,hematopoietic stem cell
IL4,CL_0002061,T-helper 9 cell
TNFSF14,CL_0000235,macrophage
CXCL5,CL_0000096,mature neutrophil
IL12B,CL_0000129,microglial cell
IL10,CL_0000583,alveolar macrophage
PDGFA,CL_0000057,fibroblast
HGF,CL_0000653,glomerular visceral epithelial cell
CXCL9,CL_0000623,natural killer cell
RETN,CL_0000351,trophoblast cell
TNF,CL_0000911,effector T cell
IL6,CL_0000553,megakaryocyte progenitor cell
IL10,CL_0000127,astrocyte
IL2,CL_0000897,"CD4-positive, alpha-beta memory T cell"
TNF,CL_0000584,enterocyte
CXCL10,CL_0000815,regulatory T cell
CCL2,CL_0000182,hepatocyte
IL4,CL_0002322,embryonic stem cell
IL6,CL_0000101,sensory neuron
TGFB,CL_0002539,aortic smooth muscle cell
CXCL1,CL_1001319,bladder cell
IFNA,CL_0002062,type I pneumocyte
IL33,CL_0002629,mature microglial cell
CD40LG,CL_0000129,microglial cell
IL6,CL_0000218,myelinating Schwann cell
CXCL12,CL_0000624,"CD4-positive, alpha-beta T cell"
CXCL12,CL_0000092,osteoclast
TNF,CL_0000815,regulatory T cell
TNF,CL_0000017,spermatocyte
IL6,CL_0000125,glial cell
CCL4,CL_0000576,monocyte
CCL2,CL_0000545,T-helper 1 cell
IFNL3,CL_0000182,hepatocyte
IL3,CL_0000100,motor neuron
HGF,CL_0000056,myoblast
IL32,CL_0000623,natural killer cell
IL1A,CL_0000236,B cell
TGFB,CL_0002410,pancreatic stellate cell
CCL2,CL_0000192,smooth muscle cell
IFNL3,CL_0000738,leukocyte
IL2,CL_0000653,glomerular visceral epithelial cell
CXCL12,CL_0000746,cardiac muscle cell
FGF1,CL_0000775,neutrophil
CCL2,CL_0002322,embryonic stem cell
FGF2,CL_0000541,melanoblast
IL2,CL_0000077,mesothelial cell
CXCL10,CL_0002619,adult endothelial progenitor cell
IL17,CL_0000127,astrocyte
CSF3,CL_0002319,neural cell
CCL11,CL_0000624,"CD4-positive, alpha-beta T cell"
CCL2,CL_0000047,neuronal stem cell
IFNB1,CL_0000625,"CD8-positive, alpha-beta T cell"
IL17,CL_0002148,dental pulp cell
LIF,CL_0000023,oocyte
IL9,CL_0000160,goblet cell
TNF,CL_0001031,cerebellar granule cell
IL21,CL_0000890,alternatively activated macrophage
CXCL8,CL_0000624,"CD4-positive, alpha-beta T cell"
CSF1,CL_0000775,neutrophil
GDF15,CL_0000092,osteoclast
IFN1,CL_0000066,epithelial cell
IL17,CL_0000097,mast cell
CXCL12,CL_0000122,stellate cell
IL1RN,CL_0000236,B cell
TGFB1,CL_0001035,bone cell
CCL3,CL_0000625,"CD8-positive, alpha-beta T cell"
TGFB1,CL_0000771,eosinophil
IL4,CL_0000836,promyelocyte
TGF,CL_0002231,epithelial cell of prostate
CSF2,CL_0000499,stromal cell
TGFB,CL_0000798,gamma-delta T cell
CSF3,CL_0000899,T-helper 17 cell
HGF,CL_0000235,macrophage
EPO,CL_0002327,mammary epithelial cell
IFNG,CL_0000558,reticulocyte
IL17,CL_0000136,fat cell
IL18,CL_0000767,basophil
IL10,CL_0000312,keratinocyte
CXCL10,CL_0000169,type B pancreatic cell
TGFB,CL_0000178,Leydig cell
LIF,CL_0000187,muscle cell
IL1,CL_0002319,neural cell
CCL5,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
SPP1,CL_0000775,neutrophil
IL2,CL_0000232,erythrocyte
IL17A,CL_0000499,stromal cell
EGF,CL_0000084,T cell
CSF3,CL_0000451,dendritic cell
IL17,CL_0002138,endothelial cell of lymphatic vessel
LTA,CL_0002365,medullary thymic epithelial cell
IL4,CL_0000135,fibrocyte
IL23,CL_0000545,T-helper 1 cell
IL13,CL_0002608,hippocampal neuron
CCL2,CL_0000359,vascular associated smooth muscle cell
EPO,CL_0000128,oligodendrocyte
TGFB,CL_0000449,brown fat cell
FGF2,CL_0000306,crystallin accumulating cell
IFNA,CL_0000128,oligodendrocyte
TGFB1,CL_0000453,Langerhans cell
PPBP,CL_0000623,natural killer cell
IL23A,CL_0000775,neutrophil
CXCL12,CL_0000584,enterocyte
TGFB,CL_0002622,prostate stromal cell
IFNB1,CL_0002293,epithelial cell of thymus
IL1,CL_0000192,smooth muscle cell
CXCL12,CL_0000586,germ cell
CCL3,CL_0000557,granulocyte monocyte progenitor cell
TNF,CL_0000037,hematopoietic stem cell
SPP1,CL_0000115,endothelial cell
IL6,CL_0000096,mature neutrophil
IL4,CL_0009004,retinal cell
IL6,CL_0000837,hematopoietic multipotent progenitor cell
TNF,CL_0000178,Leydig cell
TGFB,CL_0000187,muscle cell
IL9,CL_0000236,B cell
CCL21,CL_0000898,naive T cell
TGFB,CL_0002319,neural cell
CSF1,CL_0000066,epithelial cell
IL22,CL_0000815,regulatory T cell
IL23A,CL_0000899,T-helper 17 cell
IL1,CL_0002563,intestinal epithelial cell
IL18,CL_0000091,Kupffer cell
IFNL1,CL_0000097,mast cell
IFNA,CL_0000145,professional antigen presenting cell
TGFB2,CL_0000066,epithelial cell
TGFB1,CL_0000216,Sertoli cell
TNF,CL_0000120,granule cell
IL17A,CL_0000037,hematopoietic stem cell
IL32,CL_0000545,T-helper 1 cell
CXCL9,CL_0000738,leukocyte
CCL26,CL_0000813,memory T cell
CXCL10,CL_0000235,macrophage
IL9,CL_0000819,B-1 B cell
CD40LG,CL_0000623,natural killer cell
CXCL14,CL_0000775,neutrophil
HGF,CL_0000374,trichogen cell
FGF1,CL_0002224,lens epithelial cell
IL15,CL_0000092,osteoclast
IFNA,CL_0000786,plasma cell
CCL27,CL_0000034,stem cell
TNF,CL_0002521,subcutaneous fat cell
IL23,CL_0000236,B cell
IFNA,CL_0000127,astrocyte
CXCL12,CL_0002092,bone marrow cell
OSM,CL_0000062,osteoblast
FGF2,CL_0000065,ependymal cell
EGF,CL_0000499,stromal cell
IL15,CL_0000738,leukocyte
FGF2,CL_0002322,embryonic stem cell
TGFB2,CL_0002327,mammary epithelial cell
IL6,CL_0000129,microglial cell
IL15,CL_0000746,cardiac muscle cell
CCL7,CL_0000738,leukocyte
IL5,CL_0000235,macrophage
IFNG,CL_0000148,melanocyte
LTA,CL_0000236,B cell
CSF1,CL_0002476,bone marrow macrophage
IL5,CL_0000815,regulatory T cell
CSF1,CL_0000019,sperm
IL17B,CL_0000057,fibroblast
EPO,CL_0000134,mesenchymal cell
PPBP,CL_0000113,mononuclear phagocyte
CKLF,CL_0000056,myoblast
IL17B,CL_0000775,neutrophil
TNF,CL_0002138,endothelial cell of lymphatic vessel
CCL6,CL_0000057,fibroblast
IL32,CL_0000084,T cell
IL15,CL_0000973,IgA memory B cell
CCL20,CL_0002061,T-helper 9 cell
MIF,CL_0000312,keratinocyte
CXCL5,CL_0000235,macrophage
IL1B,CL_0000813,memory T cell
IL27,CL_0000576,monocyte
IL1,CL_0000763,myeloid cell
CSF3,CL_0000623,natural killer cell
IL17A,CL_0002548,cardiac fibroblast
CXCL8,CL_0000351,trophoblast cell
IL22,CL_0000911,effector T cell
TGF,CL_0002224,lens epithelial cell
IL18,CL_0000092,osteoclast
IL6,CL_0000696,PP cell
IL17,CL_0000066,epithelial cell
TGFB1,CL_0002368,respiratory epithelial cell
TNF,CL_0002140,acinar cell of sebaceous gland
TGFB2,CL_0000138,chondrocyte
PDGFB,CL_0000632,hepatic stellate cell
CSF2,CL_0000893,thymocyte
EPO,CL_1000497,kidney cell
IL12B,CL_0000542,lymphocyte
IFN1,CL_0000784,plasmacytoid dendritic cell
TNFSF13B,CL_0000576,monocyte
IFNA,CL_0000034,stem cell
RETN,CL_0002544,aortic endothelial cell
IFNA,CL_0000782,myeloid dendritic cell
IFNL3,CL_0000236,B cell
IL15,CL_0000811,"CD8-positive, alpha-beta thymocyte"
IL24,CL_0000148,melanocyte
CSF3,CL_0000218,myelinating Schwann cell
CSF2,CL_0000624,"CD4-positive, alpha-beta T cell"
IFNG,CL_0000990,conventional dendritic cell
TNFSF8,CL_0000775,neutrophil
IL2,CL_0002489,double negative thymocyte
IL17A,CL_0000115,endothelial cell
IL18,CL_0000581,peritoneal macrophage
CCL23,CL_0000576,monocyte
CXCL12,CL_0000056,myoblast
IL23,CL_0000623,natural killer cell
IL31,CL_0000540,neuron
IFNG,CL_0000082,epithelial cell of lung
CXCL16,CL_0000233,platelet
IL27,CL_0000145,professional antigen presenting cell
IL1B,CL_0000082,epithelial cell of lung
FGF2,CL_0002620,skin fibroblast
THPO,CL_0000034,stem cell
CCL5,CL_0000084,T cell
IL25,CL_0002061,T-helper 9 cell
EGF,CL_0000542,lymphocyte
TGFB,CL_0002548,cardiac fibroblast
IL1RN,CL_0000351,trophoblast cell
TGFB1,CL_0000738,leukocyte
IL35,CL_0000236,B cell
TNFSF15,CL_0000623,natural killer cell
FGF2,CL_0002609,neuron of cerebral cortex
CSF2,CL_0002246,peripheral blood stem cell
TGFB,CL_0000584,enterocyte
TNF,CL_0000969,regulatory B cell
IFNA,CL_0000057,fibroblast
IL27,CL_0000844,germinal center B cell
IL10,CL_0000557,granulocyte monocyte progenitor cell
CSF1,CL_0002393,intermediate monocyte
IL18,CL_0000738,leukocyte
IL22,CL_0002322,embryonic stem cell
TNFSF15,CL_0000115,endothelial cell
IFNB1,CL_0000784,plasmacytoid dendritic cell
SPP1,CL_0000066,epithelial cell
CXCL5,CL_0000037,hematopoietic stem cell
IL1B,CL_0000312,keratinocyte
HGF,CL_0002328,bronchial epithelial cell
CCL5,CL_0000775,neutrophil
IL1B,CL_0000060,odontoblast
CXCL10,CL_0000092,osteoclast
TNF,CL_0000019,sperm
IL32,CL_0000125,glial cell
IFNL2,CL_0000084,T cell
CCL19,CL_0000545,T-helper 1 cell
TGFB1,CL_0000899,T-helper 17 cell
THPO,CL_0000081,blood cell
IL27,CL_0000901,Tr1 cell
IL7,CL_0000540,neuron
IL4,CL_0000795,"CD8-positive, alpha-beta regulatory T cell"
IL12,CL_0000451,dendritic cell
CXCL8,CL_0002410,pancreatic stellate cell
CXCL12,CL_0000057,fibroblast
TNFSF15,CL_0000545,T-helper 1 cell
FGF1,CL_0000235,macrophage
IL2,CL_0000763,myeloid cell
TGFB1,CL_0000128,oligodendrocyte
CCL1,CL_0002322,embryonic stem cell
IL7,CL_0000897,"CD4-positive, alpha-beta memory T cell"
IL1B,CL_0000158,Clara cell
IL6,CL_0000023,oocyte
IL25,CL_0000784,plasmacytoid dendritic cell
CSF3,CL_0000134,mesenchymal cell
TGFB1,CL_0000531,primary sensory neuron
XCL1,CL_0000129,microglial cell
FGF2,CL_0000216,Sertoli cell
IL13,CL_0000034,stem cell
IFNA,CL_1001319,bladder cell
IL1,CL_0002063,type II pneumocyte
IL17,CL_0000890,alternatively activated macrophage
TGFB1,CL_0000218,myelinating Schwann cell
TGFB2,CL_0000127,astrocyte
CD40LG,CL_0000775,neutrophil
IL6,CL_0000575,corneal epithelial cell
IL20,CL_0000625,"CD8-positive, alpha-beta T cell"
TGFB2,CL_0000581,peritoneal macrophage
CCL3L1,CL_0000771,eosinophil
IL3,CL_0002248,pluripotent stem cell
CXCL8,CL_0002368,respiratory epithelial cell
TGFB1,CL_0000038,erythroid progenitor cell
HGF,CL_1000746,glomerular cell
CSF3,CL_0000546,T-helper 2 cell
IL4,CL_0000056,myoblast
TGFB,CL_0001035,bone cell
IL10,CL_0000094,granulocyte
EPO,CL_0000448,white fat cell
IFNA,CL_0000542,lymphocyte
GDF15,CL_0000235,macrophage
IL2,CL_0000129,microglial cell
SPP1,CL_0000057,fibroblast
IL17A,CL_0000546,T-helper 2 cell
CCL13,CL_0000235,macrophage
CSF2,CL_0000148,melanocyte
TNF,CL_0002148,dental pulp cell
IL17,CL_0000499,stromal cell
CCL5,CL_0000125,glial cell
CXCL9,CL_0000084,T cell
CSF2,CL_0000182,hepatocyte
CCL6,CL_0002563,intestinal epithelial cell
IL7,CL_0002419,mature T cell
CCL3,CL_0000233,platelet
TNF,CL_0000827,pro-T cell
IL1A,CL_0000216,Sertoli cell
IL17A,CL_0002495,fetal cardiomyocyte
CCL20,CL_0000084,T cell
TGFB1,CL_0000160,goblet cell
IL7,CL_0000794,"CD8-positive, alpha-beta cytotoxic T cell"
IL24,CL_0000312,keratinocyte
CXCL8,CL_0000824,mature natural killer cell
CD40LG,CL_0000787,memory B cell
TGFA,CL_0000202,auditory hair cell
TGFB1,CL_0000898,naive T cell
CXCL9,CL_0000911,effector T cell
IFNB1,CL_0000092,osteoclast
IL27,CL_0000115,endothelial cell
TNFSF9,CL_0000581,peritoneal macrophage
TGFB,CL_0000849,crypt olfactory receptor neuron
CCL3,CL_0000786,plasma cell
IL1B,CL_0000322,pneumocyte
IL1A,CL_0000122,stellate cell
PDGF,CL_0000134,mesenchymal cell
CXCL10,CL_0000622,acinar cell
TNF,CL_0000779,multinuclear osteoclast
LTA,CL_0000623,natural killer cell
SPP1,CL_0000138,chondrocyte
IL3,CL_0000062,osteoblast
TGFB1,CL_0002231,epithelial cell of prostate
CXCL12,CL_0000499,stromal cell
TNF,CL_0000798,gamma-delta T cell
IL1RN,CL_0000096,mature neutrophil
IL6,CL_0002334,preadipocyte
IL17A,CL_0000214,synovial cell
TGFB1,CL_0000178,Leydig cell
CCL2,CL_1000490,mesothelial cell of peritoneum
FGF2,CL_0000700,dopaminergic neuron
FGF1,CL_0000084,T cell
IL6,CL_0002138,endothelial cell of lymphatic vessel
CSF2,CL_0000353,blastoderm cell
CXCL12,CL_0000120,granule cell
IL33,CL_0000624,"CD4-positive, alpha-beta T cell"
IL2,CL_0000787,memory B cell
EPO,CL_0000129,microglial cell
TGFB,CL_0000890,alternatively activated macrophage
FGF2,CL_0000374,trichogen cell
CD40LG,CL_0000136,fat cell
CCL2,CL_0000034,stem cell
TGFB,CL_0002521,subcutaneous fat cell
IL13,CL_0000647,multinucleated giant cell
IL3,CL_0000451,dendritic cell
GDF15,CL_0000584,enterocyte
FGF2,CL_0000586,germ cell
PPBP,CL_0000084,T cell
IL4,CL_0002363,keratocyte
CSF3,CL_0000814,mature NK T cell
CCL26,CL_0000740,retinal ganglion cell
CD40LG,CL_0002544,aortic endothelial cell
