cytokine,cell
IL6,CL_0000581
TGFB,CL_0000499
IFNA,CL_0000233
IL4,CL_0000763
IL1,CL_0000214
IL18,CL_0000546
CXCL2,CL_0000738
CX3CL1,CL_0000129
IL12,CL_0000738
IL1B,CL_0000136
CSF3,CL_0000049
IL13,CL_0000057
IL21,CL_0000542
TNF,CL_0000763
CX3CL1,CL_0000233
IL1A,CL_0000182
IL10,CL_0000910
TNFSF9,CL_0000624
IFNG,CL_0000134
IFNG,CL_0000232
CXCL10,CL_0000738
IFNG,CL_0000556
IL6,CL_0000623
TGFB1,CL_0002139
CXCL12,CL_0002619
CSF3,CL_0000835
IL33,CL_0000115
CSF1,CL_0002092
IFNG,CL_0000233
LTA,CL_0000084
IL22,CL_0000066
CSF2,CL_0000542
CXCL8,CL_0000499
TNF,CL_0000653
SPP1,CL_0000738
TGFB1,CL_0000056
IL17,CL_0000738
CCL3,CL_0000235
TNF,CL_0000113
TNF,CL_0000091
TNF,CL_0000034
IL23,CL_0000092
IL1B,CL_0000899
CD40LG,CL_0000235
CSF2,CL_0000034
FGF2,CL_0000214
CCL9,CL_0000182
CSF2,CL_0000129
TNF,CL_0000218
IL6,CL_0000056
IFNB1,CL_0000542
IL4,CL_0000182
CXCL12,CL_0000169
CCL3,CL_0000738
FGF2,CL_0000047
CD40LG,CL_0000542
IFNB1,CL_0000624
IL21,CL_0000792
TGFB1,CL_0002622
TGFB,CL_0000763
IFNB1,CL_0000775
IL17A,CL_0000312
CSF2,CL_0000784
CXCL8,CL_0000312
TGFB1,CL_0000556
TNFSF4,CL_0000624
IL4,CL_0000775
IL1B,CL_0000233
TNF,CL_0000650
IFNG,CL_0000782
IL6,CL_0000019
IL10,CL_0000451
CXCL8,CL_0000094
IL6,CL_1000488
CXCL8,CL_0000037
IL21,CL_0000624
IL5,CL_0000624
CCL2,CL_0000546
IL4,CL_0000623
IL1B,CL_0000583
IFN1,CL_0000623
CSF3,CL_0000746
IL3,CL_0000235
IL1,CL_0000650
TNF,CL_0000192
IL1B,CL_1001607
FGF2,CL_0002608
CSF1,CL_0000540
IL15,CL_0000545
TNFSF15,CL_0000084
CCL22,CL_0000084
IL27,CL_0000084
CSF2,CL_0000312
CXCL10,CL_0000771
IL1B,CL_0000192
TGFB1,CL_0002327
IL1,CL_0000169
IFN1,CL_0000545
IL33,CL_0000792
IL2,CL_0000235
IL4,CL_0000910
TGFB2,CL_0000115
IFNB1,CL_0000545
FGF2,CL_0002334
TNF,CL_0000910
IL31,CL_0000101
CXCL12,CL_0000037
LIF,CL_0000235
CCL24,CL_0000771
IFNG,CL_0000056
IL33,CL_0000623
TGFB,CL_0002620
CXCL12,CL_0000236
IL27,CL_0000235
IFNB1,CL_0000057
IL18,CL_0000771
TGFB1,CL_0000182
IL13,CL_0002328
IL1B,CL_0000236
TNF,CL_0002372
CXCL8,CL_0000084
TNF,CL_0002629
IL7,CL_0000898
IL1A,CL_0000235
IL17A,CL_0000136
IL4,CL_0000788
CCL2,CL_0000092
HGF,CL_0002563
IL17,CL_0000540
TGFB1,CL_0000746
CCL2,CL_0000236
