,cytokine,cell,Cell ontology Label
236,IL1,CL_0000738,leukocyte
237,TGFB1,CL_0000624,"CD4-positive, alpha-beta T cell"
238,TGFB1,CL_0000576,monocyte
239,IL17A,CL_0000775,neutrophil
240,CXCL12,CL_0000542,lymphocyte
241,IL12,CL_0000542,lymphocyte
242,IL15,CL_0000542,lymphocyte
243,TGFB1,CL_0000138,chondrocyte
244,CXCL10,CL_0000084,T cell
245,TNF,CL_0000451,dendritic cell
246,IL22,CL_0000312,keratinocyte
247,FGF2,CL_0000192,smooth muscle cell
248,FGF2,CL_0000138,chondrocyte
249,FGF2,CL_0000034,stem cell
250,TGFB1,CL_0000134,mesenchymal cell
251,IL6,CL_0000066,epithelial cell
252,IL6,CL_0000624,"CD4-positive, alpha-beta T cell"
253,IFNB1,CL_0000576,monocyte
254,IL10,CL_0000738,leukocyte
255,IFNG,CL_0000113,mononuclear phagocyte
256,TNFSF11,CL_0000092,osteoclast
257,TGFB1,CL_0000650,mesangial cell
258,IL10,CL_0000901,Tr1 cell
259,IL3,CL_0000556,megakaryocyte
260,CCL2,CL_0000057,fibroblast
261,TGFB,CL_0000623,natural killer cell
262,IL10,CL_0000623,natural killer cell
263,TGFA,CL_0000182,hepatocyte
264,IL7,CL_0000817,precursor B cell
265,CCL26,CL_0000771,eosinophil
266,TNF,CL_0002563,intestinal epithelial cell
267,RETN,CL_0000576,monocyte
268,IL12,CL_0000235,macrophage
269,IL4,CL_0000890,alternatively activated macrophage
270,IFNB1,CL_0000236,B cell
271,IL4,CL_0000545,T-helper 1 cell
272,EPO,CL_0000115,endothelial cell
273,IL6,CL_0000899,T-helper 17 cell
274,IL1,CL_0000127,astrocyte
275,IFNA,CL_0000784,plasmacytoid dendritic cell
276,IL2,CL_0000798,gamma-delta T cell
277,TNF,CL_0000128,oligodendrocyte
278,CD40LG,CL_0000451,dendritic cell
279,IL2,CL_0000771,eosinophil
280,CSF3,CL_0000576,monocyte
281,IL3,CL_0000084,T cell
282,CX3CL1,CL_0000623,natural killer cell
283,CXCL5,CL_0000775,neutrophil
284,RETN,CL_0000136,fat cell
285,IL13,CL_0000576,monocyte
286,TNF,CL_0000233,platelet
287,IL1B,CL_0000738,leukocyte
288,IL1B,CL_0000062,osteoblast
289,CCL3,CL_0000092,osteoclast
290,IL13,CL_0000235,macrophage
291,TGFB,CL_0000115,endothelial cell
292,IL6,CL_0000097,mast cell
293,IL18,CL_0000545,T-helper 1 cell
294,CXCL8,CL_0000576,monocyte
295,EGF,CL_0000066,epithelial cell
296,FGF1,CL_0000540,neuron
297,TGFB1,CL_0000499,stromal cell
298,TNF,CL_0000746,cardiac muscle cell
299,TNF,CL_0000624,"CD4-positive, alpha-beta T cell"
300,IL1A,CL_0000092,osteoclast
301,PDGF,CL_0000192,smooth muscle cell
302,TGFB1,CL_0000127,astrocyte
303,IL33,CL_0000235,macrophage
304,CCL21,CL_0000084,T cell
305,IL33,CL_0000625,"CD8-positive, alpha-beta T cell"
306,CSF3,CL_0000557,granulocyte monocyte progenitor cell
307,TGFB,CL_0002363,keratocyte
308,IL7,CL_0000893,thymocyte
309,TNF,CL_0000138,chondrocyte
310,CSF1,CL_0000113,mononuclear phagocyte
311,TGFB,CL_0000192,smooth muscle cell
312,TGFB1,CL_0000092,osteoclast
313,IL1B,CL_0000771,eosinophil
314,IL6,CL_0000746,cardiac muscle cell
315,IL27,CL_0000545,T-helper 1 cell
316,IFNG,CL_0000863,inflammatory macrophage
317,CXCL12,CL_0000540,neuron
318,IL12,CL_0000814,mature NK T cell
319,IL1B,CL_0000115,endothelial cell
320,IL2,CL_0000775,neutrophil
321,TNF,CL_0002543,vein endothelial cell
322,IL3,CL_0002092,bone marrow cell
323,IL12,CL_0000236,B cell
324,TNF,CL_0000581,peritoneal macrophage
325,TNF,CL_0002322,embryonic stem cell
326,TNF,CL_0000499,stromal cell
327,CSF2,CL_0002092,bone marrow cell
328,CSF2,CL_0000625,"CD8-positive, alpha-beta T cell"
329,TGFB,CL_0002327,mammary epithelial cell
330,TGFB1,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
331,IFN1,CL_0000084,T cell
332,TNFSF4,CL_0000084,T cell
333,IFNG,CL_0000910,cytotoxic T cell
334,IL1A,CL_0000312,keratinocyte
335,IFNG,CL_0000451,dendritic cell
336,TGFB1,CL_0002548,cardiac fibroblast
337,TGFB1,CL_0000097,mast cell
338,IL4,CL_0000057,fibroblast
339,TNF,CL_0000097,mast cell
340,TGFB,CL_0000624,"CD4-positive, alpha-beta T cell"
341,IL13,CL_0000236,B cell
342,IL17,CL_0000235,macrophage
343,IL17,CL_0000236,B cell
344,TGFB1,CL_0000129,microglial cell
345,IL3,CL_0000557,granulocyte monocyte progenitor cell
346,CSF1,CL_0000129,microglial cell
347,IL16,CL_0000624,"CD4-positive, alpha-beta T cell"
348,CSF2,CL_0000581,peritoneal macrophage
349,TNF,CL_0000094,granulocyte
350,TGFB,CL_0000653,glomerular visceral epithelial cell
351,IL2,CL_0000815,regulatory T cell
352,IL25,CL_0000771,eosinophil
353,IL3,CL_0000775,neutrophil
354,IL6,CL_0000062,osteoblast
355,CCL2,CL_0000775,neutrophil
356,CSF3,CL_0000233,platelet
357,IL17,CL_0000899,T-helper 17 cell
358,TNF,CL_0002544,aortic endothelial cell
359,TGFB1,CL_0000236,B cell
360,TNF,CL_0000893,thymocyte
361,EPO,CL_0002619,adult endothelial progenitor cell
362,IL15,CL_0000775,neutrophil
363,IL13,CL_0002368,respiratory epithelial cell
364,IL4,CL_0000129,microglial cell
365,IFNG,CL_0000746,cardiac muscle cell
366,CSF3,CL_0000542,lymphocyte
367,EPO,CL_0000765,erythroblast
368,TGFB,CL_0000650,mesangial cell
369,TNF,CL_0002334,preadipocyte
370,FGF2,CL_0002544,aortic endothelial cell
371,TGFB,CL_0000214,synovial cell
372,CD40LG,CL_0000624,"CD4-positive, alpha-beta T cell"
373,HGF,CL_0000057,fibroblast
374,EPO,CL_0000540,neuron
375,IL15,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
376,IL15,CL_0000624,"CD4-positive, alpha-beta T cell"
377,IL23,CL_0000624,"CD4-positive, alpha-beta T cell"
378,TGFB1,CL_0000060,odontoblast
