,cytokine,cell,Cell ontology Label
1259,IL21,CL_0000235,macrophage
1260,TGFB2,CL_0000134,mesenchymal cell
1261,CCL2,CL_0002477,adipose macrophage
1262,FGF2,CL_0002092,bone marrow cell
1263,KITLG,CL_0000451,dendritic cell
1264,IL10,CL_0000969,regulatory B cell
1265,PF4,CL_0000632,hepatic stellate cell
1266,FGF2,CL_1000497,kidney cell
1267,IFNL1,CL_0000235,macrophage
1268,GDF15,CL_0000023,oocyte
1269,IL10,CL_0002322,embryonic stem cell
1270,IL16,CL_0000771,eosinophil
1271,IL1B,CL_0000817,precursor B cell
1272,IL2,CL_0000169,type B pancreatic cell
1273,IL5,CL_0000041,mature eosinophil
1274,CCL21,CL_0000129,microglial cell
1275,IL17,CL_0000625,"CD8-positive, alpha-beta T cell"
1276,IL18,CL_0000125,glial cell
1277,CCL25,CL_0000576,monocyte
1278,CSF2,CL_0000453,Langerhans cell
1279,IL26,CL_0000623,natural killer cell
1280,IL34,CL_0000540,neuron
1281,CCL6,CL_0000115,endothelial cell
1282,CSF1,CL_0000115,endothelial cell
1283,IFN1,CL_0000798,gamma-delta T cell
1284,TGFB2,CL_0000545,T-helper 1 cell
1285,CXCL2,CL_0000096,mature neutrophil
1286,IL17A,CL_0000763,myeloid cell
1287,CXCL10,CL_0000236,B cell
1288,CXCL14,CL_0000623,natural killer cell
1289,HGF,CL_0000312,keratinocyte
1290,PDGFA,CL_0000128,oligodendrocyte
1291,IL6,CL_0000351,trophoblast cell
1292,IL12,CL_0000187,muscle cell
1293,GDF15,CL_0002609,neuron of cerebral cortex
1294,IFN1,CL_0000625,"CD8-positive, alpha-beta T cell"
1295,FGF2,CL_0000232,erythrocyte
1296,CXCL14,CL_0000084,T cell
1297,IL11,CL_0000557,granulocyte monocyte progenitor cell
1298,TGFB1,CL_1000497,kidney cell
1299,IFNL2,CL_0000775,neutrophil
1300,CCL6,CL_0000097,mast cell
1301,CCL5,CL_0000134,mesenchymal cell
1302,TGFB,CL_0000136,fat cell
1303,IL1,CL_0000034,stem cell
1304,IFNG,CL_0000794,"CD8-positive, alpha-beta cytotoxic T cell"
1305,PDGF,CL_0000061,cementoblast
1306,IL19,CL_0002629,mature microglial cell
1307,TGFA,CL_0000148,melanocyte
1308,CCL7,CL_0000129,microglial cell
1309,IL16,CL_0000576,monocyte
1310,TGF,CL_0000060,odontoblast
1311,IL18,CL_0002425,early T lineage precursor
1312,IL6,CL_0000017,spermatocyte
1313,LTA,CL_0000499,stromal cell
1314,IL10,CL_0000453,Langerhans cell
1315,IL33,CL_0002483,hair follicle melanocyte
1316,TGFA,CL_0000100,motor neuron
1317,IL15,CL_0000056,myoblast
1318,IL4,CL_0001035,bone cell
1319,TGFB,CL_0002367,trabecular meshwork cell
1320,IL6,CL_0002397,"CD14-positive, CD16-positive monocyte"
1321,IL1RN,CL_0000775,neutrophil
1322,IL1B,CL_0002410,pancreatic stellate cell
1323,PPBP,CL_0000771,eosinophil
1324,TNFSF9,CL_0000545,T-helper 1 cell
1325,IL1B,CL_0002543,vein endothelial cell
1326,TNFSF9,CL_0000235,macrophage
1327,LECT2,CL_0000576,monocyte
1328,CXCL8,CL_0000214,synovial cell
1329,IL1RN,CL_0000182,hepatocyte
1330,IL17,CL_0000910,cytotoxic T cell
1331,IL27,CL_0000092,osteoclast
1332,TNFSF15,CL_0000738,leukocyte
1333,EGF,CL_0000077,mesothelial cell
1334,IL1B,CL_0000187,muscle cell
1335,TGFB1,CL_0002372,myotube
1336,IL2,CL_0000903,natural T-regulatory cell
1337,FGF2,CL_0002148,dental pulp cell
1338,CCL2,CL_0000581,peritoneal macrophage
1339,IL1B,CL_0002621,gingival epithelial cell
1340,IL18,CL_0000542,lymphocyte
1341,CCL20,CL_0000451,dendritic cell
1342,LIF,CL_0002322,embryonic stem cell
1343,IL7,CL_0000814,mature NK T cell
1344,TGFB1,CL_0000784,plasmacytoid dendritic cell
1345,IL4,CL_0000826,pro-B cell
1346,GDF15,CL_0000216,Sertoli cell
1347,IL17,CL_0000034,stem cell
1348,IFNA,CL_0000037,hematopoietic stem cell
1349,IL17,CL_0002063,type II pneumocyte
1350,TGFB1,CL_0000148,melanocyte
1351,IL19,CL_0000890,alternatively activated macrophage
1352,CCL3,CL_0000911,effector T cell
1353,CCL5,CL_0000771,eosinophil
1354,IL22,CL_0000057,fibroblast
1355,LECT2,CL_0000738,leukocyte
1356,CSF2,CL_0000881,perivascular macrophage
1357,CXCL12,CL_0000322,pneumocyte
1358,IL19,CL_0000235,macrophage
1359,CCL18,CL_0000136,fat cell
1360,IL10,CL_0002188,glomerular endothelial cell
1361,IL6,CL_0000134,mesenchymal cell
1362,CXCL12,CL_0000048,multi fate stem cell
1363,CXCL1,CL_0000127,astrocyte
1364,IL13,CL_0000492,CD4-positive helper T cell
1365,IL9,CL_0000624,"CD4-positive, alpha-beta T cell"
1366,IL6,CL_0002231,epithelial cell of prostate
1367,IL7,CL_0000798,gamma-delta T cell
1368,CCL26,CL_0000899,T-helper 17 cell
1369,TGFB,CL_0000448,white fat cell
1370,SPP1,CL_0000653,glomerular visceral epithelial cell
1371,TGF,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
1372,IL6,CL_0000187,muscle cell
1373,FGF2,CL_0002319,neural cell
1374,CCL2,CL_0000624,"CD4-positive, alpha-beta T cell"
1375,IL10,CL_0000860,classical monocyte
1376,RETN,CL_0000775,neutrophil
1377,CCL15,CL_0000092,osteoclast
1378,IL12,CL_0000815,regulatory T cell
1379,IL21,CL_0000899,T-helper 17 cell
1380,IL12,CL_0000782,myeloid dendritic cell
1381,IL1B,CL_0000542,lymphocyte
1382,IL12,CL_0000775,neutrophil
1383,IFNG,CL_0002138,endothelial cell of lymphatic vessel
1384,IL33,CL_0000135,fibrocyte
1385,IL7,CL_1001319,bladder cell
1386,IL1,CL_0000037,hematopoietic stem cell
1387,IL9,CL_0000546,T-helper 2 cell
1388,CXCL16,CL_0000738,leukocyte
1389,IFNA,CL_0000787,memory B cell
1390,CCL26,CL_0000763,myeloid cell
1391,IL23,CL_0000625,"CD8-positive, alpha-beta T cell"
1392,CCL21,CL_0000236,B cell
1393,CCL19,CL_0000623,natural killer cell
1394,GDF15,CL_0000128,oligodendrocyte
1395,IL6,CL_0000453,Langerhans cell
1396,IL34,CL_0000115,endothelial cell
1397,PF4,CL_0000122,stellate cell
1398,IL4,CL_0000556,megakaryocyte
1399,PPBP,CL_0000134,mesenchymal cell
1400,LIF,CL_0000056,myoblast
1401,IL6,CL_0000492,CD4-positive helper T cell
1402,IL25,CL_0000451,dendritic cell
1403,CXCL16,CL_0000115,endothelial cell
1404,IFNG,CL_0000669,pericyte cell
1405,EPO,CL_0000057,fibroblast
1406,CSF3,CL_0000586,germ cell
1407,Monocyte-CSF,CL_0000084,T cell
1408,IFNA,CL_0000899,T-helper 17 cell
1409,IL17A,CL_0000388,tendon cell
1410,TGF,CL_0002327,mammary epithelial cell
1411,IL23,CL_0000066,epithelial cell
1412,IL1,CL_0000837,hematopoietic multipotent progenitor cell
1413,IL2,CL_0000546,T-helper 2 cell
1414,IFNA,CL_0000169,type B pancreatic cell
1415,HGF,CL_0002619,adult endothelial progenitor cell
1416,CCL4,CL_0000624,"CD4-positive, alpha-beta T cell"
1417,IL6,CL_0000047,neuronal stem cell
1418,CXCL12,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
1419,IL21,CL_0000815,regulatory T cell
1420,CCL15,CL_0000839,myeloid lineage restricted progenitor cell
1421,TGFB,CL_1001607,articular chondrocyte
1422,IL6,CL_0000120,granule cell
1423,THPO,CL_0000746,cardiac muscle cell
1424,IL17,CL_0000037,hematopoietic stem cell
1425,IL4,CL_0002608,hippocampal neuron
1426,IFNG,CL_0000359,vascular associated smooth muscle cell
1427,IL21,CL_0000787,memory B cell
1428,FGF1,CL_0000129,microglial cell
1429,IL1RN,CL_0000576,monocyte
1430,CCL5,CL_0000583,alveolar macrophage
1431,HGF,CL_0000763,myeloid cell
1432,CCL2,CL_0000676,cap cell
1433,CX3CL1,CL_0000540,neuron
1434,IL13,CL_0000182,hepatocyte
1435,IL25,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
1436,CXCL8,CL_0000592,large luteal cell
1437,IL22,CL_0002368,respiratory epithelial cell
1438,IL32,CL_0000775,neutrophil
1439,IL7,CL_0000062,osteoblast
1440,PDGF,CL_0000669,pericyte cell
1441,HGF,CL_0000584,enterocyte
1442,IL17,CL_0000233,platelet
1443,TNF,CL_0000121,Purkinje cell
1444,CX3CL1,CL_0000084,T cell
1445,CD40LG,CL_0000784,plasmacytoid dendritic cell
1446,IL33,CL_0000066,epithelial cell
1447,PDGFB,CL_0000214,synovial cell
1448,IL18,CL_0000679,glutamatergic neuron
1449,IL11,CL_0000746,cardiac muscle cell
1450,CCL20,CL_0000037,hematopoietic stem cell
1451,IFNB1,CL_0000540,neuron
1452,IL1A,CL_0000624,"CD4-positive, alpha-beta T cell"
1453,XCL1,CL_0002092,bone marrow cell
1454,TNFSF9,CL_0000047,neuronal stem cell
1455,TNF,CL_0000889,myeloid suppressor cell
1456,CSF3,CL_0000062,osteoblast
1457,GDF15,CL_0000137,osteocyte
1458,TGFB2,CL_0002138,endothelial cell of lymphatic vessel
1459,IL7,CL_0002033,short term hematopoietic stem cell
1460,CCL4,CL_0000057,fibroblast
1461,TNF,CL_0000135,fibrocyte
1462,HGF,CL_0000738,leukocyte
1463,PPBP,CL_0000545,T-helper 1 cell
1464,TGFB,CL_0001042,T-helper 22 cell
1465,LIF,CL_0000312,keratinocyte
1466,IL5,CL_0000820,B-1a B cell
1467,CSF3,CL_0000351,trophoblast cell
1468,IL2,CL_0000911,effector T cell
1469,PDGFA,CL_0002224,lens epithelial cell
1470,IL10,CL_0000786,plasma cell
1471,CXCL16,CL_0000625,"CD8-positive, alpha-beta T cell"
1472,TGFB,CL_0000669,pericyte cell
1473,IL1B,CL_0000584,enterocyte
1474,IL13,CL_0000899,T-helper 17 cell
1475,IL25,CL_0000863,inflammatory macrophage
1476,CSF1,CL_0000893,thymocyte
1477,CCL2,CL_1000497,kidney cell
1478,IFNG,CL_0002322,embryonic stem cell
1479,PDGF,CL_0002544,aortic endothelial cell
1480,CSF1,CL_0000037,hematopoietic stem cell
1481,TNFSF9,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
1482,IL1B,CL_1001567,lung endothelial cell
1483,PDGFB,CL_0000127,astrocyte
1484,TGF,CL_0000815,regulatory T cell
1485,IL17A,CL_0000125,glial cell
1486,IL2,CL_0002038,T follicular helper cell
1487,IFN1,CL_0000182,hepatocyte
1488,IL22,CL_0000623,natural killer cell
1489,IL10,CL_0000138,chondrocyte
1490,CCL4,CL_0000115,endothelial cell
1491,TGFB1,CL_0000137,osteocyte
1492,IL12,CL_0000145,professional antigen presenting cell
1493,IFNA,CL_0000082,epithelial cell of lung
1494,IL18,CL_0000236,B cell
1495,TGFB,CL_0000545,T-helper 1 cell
1496,CXCL8,CL_0000542,lymphocyte
1497,CXCL1,CL_0000096,mature neutrophil
1498,SPP1,CL_0002548,cardiac fibroblast
1499,IL1A,CL_0000912,helper T cell
1500,EGF,CL_0000540,neuron
1501,TGFB,CL_0000911,effector T cell
1502,CCL11,CL_0000738,leukocyte
1503,IL23,CL_0000235,macrophage
1504,CSF1,CL_0002372,myotube
1505,IL5,CL_0000775,neutrophil
1506,TGFB1,CL_0000451,dendritic cell
1507,TNF,CL_0000669,pericyte cell
1508,IL1,CL_0000362,epidermal cell
1509,IL21,CL_0000844,germinal center B cell
1510,TGFB,CL_1000497,kidney cell
1511,IL33,CL_1000488,cholangiocyte
1512,CCL5,CL_0000097,mast cell
1513,IL17,CL_0000771,eosinophil
1514,IL1B,CL_0000160,goblet cell
1515,IL1RN,CL_0000746,cardiac muscle cell
1516,IL1B,CL_0000545,T-helper 1 cell
1517,TGFB1,CL_0000169,type B pancreatic cell
1518,FGF2,CL_0000061,cementoblast
1519,IL15,CL_0000576,monocyte
1520,IL18,CL_0000115,endothelial cell
1521,IL1B,CL_0000125,glial cell
1522,TGFB,CL_0000501,granulosa cell
1523,TGFB1,CL_0002563,intestinal epithelial cell
1524,IL11,CL_0000062,osteoblast
1525,IL6,CL_0002079,pancreatic ductal cell
1526,IL17F,CL_0002139,endothelial cell of vascular tree
1527,MIF,CL_0000771,eosinophil
1528,IL6,CL_0000145,professional antigen presenting cell
1529,IFNG,CL_0000798,gamma-delta T cell
1530,CCL6,CL_0000084,T cell
1531,TNFSF15,CL_0002061,T-helper 9 cell
1532,FGF2,CL_0000542,lymphocyte
1533,CCL3,CL_0000767,basophil
1534,GDF15,CL_0000623,natural killer cell
1535,CSF1,CL_0000746,cardiac muscle cell
1536,IL23,CL_0000912,helper T cell
1537,IL1,CL_0000545,T-helper 1 cell
1538,IL15,CL_0000910,cytotoxic T cell
1539,SPP1,CL_0000625,"CD8-positive, alpha-beta T cell"
1540,PF4V1,CL_0000115,endothelial cell
1541,TNFSF9,CL_0000542,lymphocyte
1542,CCL2,CL_0000077,mesothelial cell
1543,IL6,CL_0002372,myotube
1544,TGFB2,CL_0002609,neuron of cerebral cortex
1545,CCL20,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
1546,IL9,CL_0000775,neutrophil
1547,CXCL16,CL_0000084,T cell
1548,TGFB2,CL_0000084,T cell
1549,CCL2,CL_0000091,Kupffer cell
1550,IL17A,CL_0000542,lymphocyte
1551,CCL2,CL_0000451,dendritic cell
1552,CXCL12,CL_0002138,endothelial cell of lymphatic vessel
1553,CXCL8,CL_1001607,articular chondrocyte
1554,TGFB1,CL_0000061,cementoblast
1555,CCL25,CL_0000542,lymphocyte
1556,IL6,CL_0002629,mature microglial cell
1557,TGFB,CL_0000218,myelinating Schwann cell
1558,CXCL13,CL_0000624,"CD4-positive, alpha-beta T cell"
1559,IL1B,CL_0000575,corneal epithelial cell
1560,CCL20,CL_0000911,effector T cell
1561,TGFB,CL_0000581,peritoneal macrophage
1562,TNFSF9,CL_0000815,regulatory T cell
1563,IL21,CL_0000057,fibroblast
1564,IL1A,CL_0000134,mesenchymal cell
1565,IL18,CL_0002483,hair follicle melanocyte
1566,CCL11,CL_0000546,T-helper 2 cell
1567,TNF,CL_0000871,splenic macrophage
1568,CSF2,CL_0000912,helper T cell
1569,CSF2,CL_0000546,T-helper 2 cell
1570,IL1B,CL_0000056,myoblast
1571,CXCL1,CL_0000115,endothelial cell
1572,IL22,CL_0000510,paneth cell
1573,TGFB1,CL_0000559,promonocyte
1574,IL4,CL_0000917,Tc1 cell
1575,CCL20,CL_0002327,mammary epithelial cell
1576,PF4,CL_0000576,monocyte
1577,CXCL8,CL_0000767,basophil
1578,CXCL6,CL_0000236,B cell
1579,IL22,CL_0000182,hepatocyte
1580,IL13,CL_0000546,T-helper 2 cell
1581,IL1A,CL_0000910,cytotoxic T cell
1582,CCL5,CL_0000169,type B pancreatic cell
1583,CXCL8,CL_0002322,embryonic stem cell
1584,CCL21,CL_0000738,leukocyte
1585,IL32,CL_0000235,macrophage
1586,IL6,CL_0000077,mesothelial cell
1587,CCL18,CL_0000624,"CD4-positive, alpha-beta T cell"
1588,CSF2,CL_0000047,neuronal stem cell
1589,TNF,CL_0000362,epidermal cell
1590,CXCL13,CL_0000138,chondrocyte
1591,IFNB1,CL_0002138,endothelial cell of lymphatic vessel
1592,CCL2,CL_0000233,platelet
1593,IL15,CL_0000021,female germ cell
1594,IL2,CL_0000034,stem cell
1595,IL22,CL_0000084,T cell
1596,MIF,CL_0000746,cardiac muscle cell
1597,CSF3,CL_0002608,hippocampal neuron
1598,CXCL8,CL_0000731,urothelial cell
1599,CXCL14,CL_0000738,leukocyte
1600,CSF3,CL_0000129,microglial cell
1601,IL34,CL_0000890,alternatively activated macrophage
1602,TNFSF8,CL_0000236,B cell
1603,IL32,CL_0002328,bronchial epithelial cell
1604,CD40LG,CL_0000911,effector T cell
1605,CCL7,CL_0000771,eosinophil
1606,IL5,CL_0000542,lymphocyte
1607,IFNB1,CL_0000066,epithelial cell
1608,IL1B,CL_0000453,Langerhans cell
1609,IL17,CL_0000122,stellate cell
1610,IFNG,CL_0000912,helper T cell
1611,CXCL12,CL_0000545,T-helper 1 cell
1612,IL33,CL_0000779,multinuclear osteoclast
1613,CCL9,CL_0002092,bone marrow cell
1614,IL2,CL_0000492,CD4-positive helper T cell
1615,IL2,CL_0000451,dendritic cell
1616,HGF,CL_0007011,enteric neuron
1617,TNFSF14,CL_0000836,promyelocyte
1618,THPO,CL_0000037,hematopoietic stem cell
1619,CXCL8,CL_0000899,T-helper 17 cell
1620,IL6,CL_0000558,reticulocyte
1621,TGFA,CL_0000057,fibroblast
1622,IL17,CL_0000624,"CD4-positive, alpha-beta T cell"
1623,IL15,CL_0000312,keratinocyte
1624,EGF,CL_0000169,type B pancreatic cell
1625,FGF1,CL_0002619,adult endothelial progenitor cell
1626,IL6,CL_0002092,bone marrow cell
1627,CCL27,CL_0000624,"CD4-positive, alpha-beta T cell"
1628,IFNG,CL_0000047,neuronal stem cell
1629,IFNB1,CL_0000581,peritoneal macrophage
1630,FGF2,CL_0000514,smooth muscle myoblast
1631,EPO,CL_0000084,T cell
1632,IL1A,CL_0000623,natural killer cell
1633,CCL20,CL_0000062,osteoblast
1634,IL1B,CL_0002138,endothelial cell of lymphatic vessel
1635,TGFA,CL_1001607,articular chondrocyte
1636,TGFB1,CL_1001319,bladder cell
1637,IL32,CL_0000624,"CD4-positive, alpha-beta T cell"
1638,IL1B,CL_0002608,hippocampal neuron
1639,CXCL8,CL_0000129,microglial cell
1640,GDF15,CL_0000129,microglial cell
1641,CCL22,CL_0000583,alveolar macrophage
1642,TNF,CL_0000449,brown fat cell
1643,IL35,CL_0000625,"CD8-positive, alpha-beta T cell"
1644,PPBP,CL_0000738,leukocyte
1645,LTA,CL_0000542,lymphocyte
1646,TGFB1,CL_0000122,stellate cell
1647,LTA,CL_0000057,fibroblast
1648,IL1B,CL_0000622,acinar cell
1649,TDGF1P3,CL_0000056,myoblast
1650,TGFA,CL_0000623,natural killer cell
1651,CXCL5,CL_0000115,endothelial cell
1652,CCL11,CL_0000611,eosinophil progenitor cell
1653,CCL3,CL_0000632,hepatic stellate cell
1654,IL18,CL_0000503,theca cell
1655,IL17A,CL_0002363,keratocyte
1656,TGFA,CL_0000115,endothelial cell
1657,CCL22,CL_0000784,plasmacytoid dendritic cell
1658,IL6,CL_0009004,retinal cell
1659,IL1,CL_0000746,cardiac muscle cell
1660,IFNA,CL_0000540,neuron
1661,IL17,CL_0000384,ligament cell
1662,CCL16,CL_0000771,eosinophil
1663,IL33,CL_0000499,stromal cell
1664,IL1,CL_0000125,glial cell
1665,IL3,CL_0000839,myeloid lineage restricted progenitor cell
1666,HGF,CL_0000451,dendritic cell
1667,IL16,CL_0000235,macrophage
1668,CCL15,CL_0000115,endothelial cell
1669,TGFB1,CL_0000135,fibrocyte
1670,CSF3,CL_0000081,blood cell
1671,IL2,CL_0000037,hematopoietic stem cell
1672,IL11,CL_0000359,vascular associated smooth muscle cell
1673,TGFA,CL_0000235,macrophage
1674,IL9,CL_0000312,keratinocyte
1675,CXCL11,CL_0000542,lymphocyte
1676,IFNG,CL_0000763,myeloid cell
1677,CD70,CL_0000236,B cell
1678,EPO,CL_0002144,capillary endothelial cell
1679,IFNG,CL_0002224,lens epithelial cell
1680,IL17,CL_0000092,osteoclast
1681,IL1,CL_0000786,plasma cell
1682,TNF,CL_0000322,pneumocyte
1683,TGFB,CL_0002368,respiratory epithelial cell
1684,CXCL11,CL_0000625,"CD8-positive, alpha-beta T cell"
1685,PDGF,CL_0000062,osteoblast
1686,TGFB,CL_0000765,erythroblast
1687,IL4,CL_0000192,smooth muscle cell
1688,IL1B,CL_0000863,inflammatory macrophage
1689,GDF15,CL_0002322,embryonic stem cell
1690,IL4,CL_0000092,osteoclast
1691,IL4,CL_0002544,aortic endothelial cell
1692,TNFSF9,CL_0000763,myeloid cell
1693,RETN,CL_0000182,hepatocyte
1694,MIF,CL_0000785,mature B cell
1695,IFNG,CL_0000898,naive T cell
1696,IL6,CL_0000815,regulatory T cell
1697,EGF,CL_0000019,sperm
1698,IL17,CL_0000125,glial cell
1699,IFNA2,CL_0000084,T cell
1700,IL21,CL_0002563,intestinal epithelial cell
1701,CXCL12,CL_0000062,osteoblast
1702,CCL2,CL_0002139,endothelial cell of vascular tree
1703,TGFB,CL_0000188,skeletal muscle cell
1704,TDGF1P3,CL_0000034,stem cell
1705,IFNG,CL_0000442,follicular dendritic cell
1706,IL23,CL_0001042,T-helper 22 cell
1707,IL6,CL_0000037,hematopoietic stem cell
1708,OSM,CL_0000312,keratinocyte
1709,RETN,CL_0000359,vascular associated smooth muscle cell
1710,TGFB2,CL_0000235,macrophage
1711,IL3,CL_0000576,monocyte
1712,IL23,CL_0002548,cardiac fibroblast
1713,IL1B,CL_0000708,leptomeningeal cell
1714,IL18,CL_0000066,epithelial cell
1715,HGF,CL_0000186,myofibroblast cell
1716,IL6,CL_0000584,enterocyte
1717,IFNG,CL_0000362,epidermal cell
1718,IFNG,CL_0000844,germinal center B cell
1719,TGFB1,CL_0000910,cytotoxic T cell
1720,IL15,CL_0000814,mature NK T cell
1721,IL1RN,CL_0000084,T cell
1722,CXCL10,CL_0001041,"CD8-positive, CXCR3-positive, alpha-beta regulatory T cell"
1723,CCL18,CL_0000542,lymphocyte
1724,CCL26,CL_0000129,microglial cell
1725,CSF3,CL_0000624,"CD4-positive, alpha-beta T cell"
1726,HGF,CL_0000134,mesenchymal cell
1727,TGFA,CL_0000501,granulosa cell
1728,CCL26,CL_0000576,monocyte
1729,IL7,CL_0002563,intestinal epithelial cell
1730,TGFB,CL_0000909,"CD8-positive, alpha-beta memory T cell"
1731,EGF,CL_0000233,platelet
1732,IL23,CL_0002620,skin fibroblast
1733,PDGF,CL_0000037,hematopoietic stem cell
1734,IL4,CL_0002061,T-helper 9 cell
1735,TNFSF14,CL_0000235,macrophage
1736,CXCL5,CL_0000096,mature neutrophil
1737,IL12B,CL_0000129,microglial cell
1738,IL10,CL_0000583,alveolar macrophage
1739,PDGFA,CL_0000057,fibroblast
1740,HGF,CL_0000653,glomerular visceral epithelial cell
1741,CXCL9,CL_0000623,natural killer cell
1742,RETN,CL_0000351,trophoblast cell
1743,TNF,CL_0000911,effector T cell
1744,IL6,CL_0000553,megakaryocyte progenitor cell
1745,IL10,CL_0000127,astrocyte
1746,IL2,CL_0000897,"CD4-positive, alpha-beta memory T cell"
1747,TNF,CL_0000584,enterocyte
1748,CXCL10,CL_0000815,regulatory T cell
1749,CCL2,CL_0000182,hepatocyte
1750,IL4,CL_0002322,embryonic stem cell
1751,IL6,CL_0000101,sensory neuron
1752,TGFB,CL_0002539,aortic smooth muscle cell
1753,CXCL1,CL_1001319,bladder cell
1754,IFNA,CL_0002062,type I pneumocyte
1755,IL33,CL_0002629,mature microglial cell
1756,CD40LG,CL_0000129,microglial cell
1757,IL6,CL_0000218,myelinating Schwann cell
1758,CXCL12,CL_0000624,"CD4-positive, alpha-beta T cell"
1759,CXCL12,CL_0000092,osteoclast
1760,TNF,CL_0000815,regulatory T cell
1761,TNF,CL_0000017,spermatocyte
1762,IL6,CL_0000125,glial cell
1763,CCL4,CL_0000576,monocyte
1764,CCL2,CL_0000545,T-helper 1 cell
1765,IFNL3,CL_0000182,hepatocyte
1766,IL3,CL_0000100,motor neuron
1767,HGF,CL_0000056,myoblast
1768,IL32,CL_0000623,natural killer cell
1769,IL1A,CL_0000236,B cell
1770,TGFB,CL_0002410,pancreatic stellate cell
1771,CCL2,CL_0000192,smooth muscle cell
1772,IFNL3,CL_0000738,leukocyte
1773,IL2,CL_0000653,glomerular visceral epithelial cell
1774,CXCL12,CL_0000746,cardiac muscle cell
1775,FGF1,CL_0000775,neutrophil
1776,CCL2,CL_0002322,embryonic stem cell
1777,FGF2,CL_0000541,melanoblast
1778,IL2,CL_0000077,mesothelial cell
1779,CXCL10,CL_0002619,adult endothelial progenitor cell
1780,IL17,CL_0000127,astrocyte
1781,CSF3,CL_0002319,neural cell
1782,CCL11,CL_0000624,"CD4-positive, alpha-beta T cell"
1783,CCL2,CL_0000047,neuronal stem cell
1784,IFNB1,CL_0000625,"CD8-positive, alpha-beta T cell"
1785,IL17,CL_0002148,dental pulp cell
1786,LIF,CL_0000023,oocyte
1787,IL9,CL_0000160,goblet cell
1788,TNF,CL_0001031,cerebellar granule cell
1789,IL21,CL_0000890,alternatively activated macrophage
1790,CXCL8,CL_0000624,"CD4-positive, alpha-beta T cell"
1791,CSF1,CL_0000775,neutrophil
1792,GDF15,CL_0000092,osteoclast
1793,IFN1,CL_0000066,epithelial cell
1794,IL17,CL_0000097,mast cell
1795,CXCL12,CL_0000122,stellate cell
1796,IL1RN,CL_0000236,B cell
1797,TGFB1,CL_0001035,bone cell
1798,CCL3,CL_0000625,"CD8-positive, alpha-beta T cell"
1799,TGFB1,CL_0000771,eosinophil
1800,IL4,CL_0000836,promyelocyte
1801,TGF,CL_0002231,epithelial cell of prostate
1802,CSF2,CL_0000499,stromal cell
1803,TGFB,CL_0000798,gamma-delta T cell
1804,CSF3,CL_0000899,T-helper 17 cell
1805,HGF,CL_0000235,macrophage
1806,EPO,CL_0002327,mammary epithelial cell
1807,IFNG,CL_0000558,reticulocyte
1808,IL17,CL_0000136,fat cell
1809,IL18,CL_0000767,basophil
1810,IL10,CL_0000312,keratinocyte
1811,CXCL10,CL_0000169,type B pancreatic cell
1812,TGFB,CL_0000178,Leydig cell
1813,LIF,CL_0000187,muscle cell
1814,IL1,CL_0002319,neural cell
1815,CCL5,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
1816,SPP1,CL_0000775,neutrophil
1817,IL2,CL_0000232,erythrocyte
1818,IL17A,CL_0000499,stromal cell
1819,EGF,CL_0000084,T cell
1820,CSF3,CL_0000451,dendritic cell
1821,IL17,CL_0002138,endothelial cell of lymphatic vessel
1822,LTA,CL_0002365,medullary thymic epithelial cell
1823,IL4,CL_0000135,fibrocyte
1824,IL23,CL_0000545,T-helper 1 cell
1825,IL13,CL_0002608,hippocampal neuron
1826,CCL2,CL_0000359,vascular associated smooth muscle cell
1827,EPO,CL_0000128,oligodendrocyte
1828,TGFB,CL_0000449,brown fat cell
1829,FGF2,CL_0000306,crystallin accumulating cell
1830,IFNA,CL_0000128,oligodendrocyte
1831,TGFB1,CL_0000453,Langerhans cell
1832,PPBP,CL_0000623,natural killer cell
1833,IL23A,CL_0000775,neutrophil
1834,CXCL12,CL_0000584,enterocyte
1835,TGFB,CL_0002622,prostate stromal cell
1836,IFNB1,CL_0002293,epithelial cell of thymus
1837,IL1,CL_0000192,smooth muscle cell
1838,CXCL12,CL_0000586,germ cell
1839,CCL3,CL_0000557,granulocyte monocyte progenitor cell
1840,TNF,CL_0000037,hematopoietic stem cell
1841,SPP1,CL_0000115,endothelial cell
1842,IL6,CL_0000096,mature neutrophil
1843,IL4,CL_0009004,retinal cell
1844,IL6,CL_0000837,hematopoietic multipotent progenitor cell
1845,TNF,CL_0000178,Leydig cell
1846,TGFB,CL_0000187,muscle cell
1847,IL9,CL_0000236,B cell
1848,CCL21,CL_0000898,naive T cell
1849,TGFB,CL_0002319,neural cell
1850,CSF1,CL_0000066,epithelial cell
1851,IL22,CL_0000815,regulatory T cell
1852,IL23A,CL_0000899,T-helper 17 cell
1853,IL1,CL_0002563,intestinal epithelial cell
1854,IL18,CL_0000091,Kupffer cell
1855,IFNL1,CL_0000097,mast cell
1856,IFNA,CL_0000145,professional antigen presenting cell
1857,TGFB2,CL_0000066,epithelial cell
