cytokine,cell
IFNB1,neutrophil
TGFB1,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
TNF,Leydig cell
TGFB,bone marrow cell
TGFB1,neutrophil
IL1,endothelial cell
PPBP,platelet
IL6,smooth muscle myoblast
IL13,fibroblast
GDF15,T cell
TNFSF9,osteoclast
IL4,mast cell
PF4,megakaryocyte
IL13,eosinophil
TNFSF9,"CD8-positive, alpha-beta T cell"
IL7,thymocyte
CCL2,endothelial cell
TGFB1,mature natural killer cell
IFNG,cytotoxic T cell
IL18,osteoclast
LECT1,endothelial cell
IFNG,astrocyte
TNF,synovial cell
IFNG,conventional dendritic cell
CSF3,megakaryocyte
TNF,skeletal muscle cell
TNF,B cell
IL1RN,fibroblast
IL2,myeloid cell
TGFB1,trophoblast cell
TGFB1,osteoclast
CCL2,T cell
TGFB1,melanocyte
FGF2,osteoclast
IL1,fat cell
IL6,granulocyte monocyte progenitor cell
TGFB,embryonic stem cell
IL1,osteoclast
IFNG,respiratory epithelial cell
IFNG,smooth muscle cell
IL1B,stromal cell
IL13,B cell
CSF2,myeloid cell
CXCL12,myeloid cell
IL15,effector T cell
TGFB,pneumocyte
CX3CL1,T cell
IL33,fat cell
TGFB1,myeloid cell
LTA,B cell
IL1B,oligodendrocyte
TGFB1,synovial cell
CSF1,"CD4-positive, alpha-beta T cell"
IL6,T-helper 17 cell
IL4,lymphocyte
IL18,B cell
CCL5,T cell
CXCL8,lymphocyte
EGF,keratinocyte
CXCL8,monocyte
IL17,eosinophil
TGFB,hepatocyte
TGFB,astrocyte
IL18,endothelial cell
TGFB,epithelial cell of lung
FGF1,neuron
IL1,eosinophil
IFNA,"CD8-positive, alpha-beta T cell"
IL2,granulocyte monocyte progenitor cell
TGFB1,fat cell
IL17,monocyte
CCL20,T-helper 17 cell
CXCL8,basophil
IL22,hepatocyte
IL3,osteoclast
TNF,myotube
IL3,bone marrow cell
TGFB,enucleate erythrocyte
TGFB1,smooth muscle cell
IL7,pro-B cell
TNF,melanocyte
