,cytokine,cell,source
226,EPO,cardiac muscle cell,cell-cytokine
227,EPO,glomerular visceral epithelial cell,cell-cytokine
228,EPO,fibroblast,cell-cytokine
229,EPO,stem cell,cell-cytokine
230,EPO,neutrophil,cell-cytokine
231,EPO,astrocyte,cell-cytokine
232,EPO,mesenchymal cell,cell-cytokine
233,EPO,granulocyte,cell-cytokine
234,EPO,lymphocyte,cell-cytokine
235,EPO,mature neutrophil,cell-cytokine
236,EPO,melanocyte,cell-cytokine
237,EPO,neuronal stem cell,cell-cytokine
238,EPO,oligodendrocyte,cell-cytokine
239,EPO,mammary epithelial cell,cell-cytokine
240,EPO,hepatocyte,cell-cytokine
241,EPO,kidney cell,cell-cytokine
242,EPO,B cell,cell-cytokine
243,EPO,white fat cell,cell-cytokine
244,EPO,microglial cell,cell-cytokine
245,EPO,capillary endothelial cell,cell-cytokine
246,EPO,basophilic erythroblast,cell-cytokine
247,EPO,neuron of cerebral cortex,cell-cytokine
248,EPO,motor neuron,cell-cytokine
249,EPO,skeletal muscle myoblast,cell-cytokine
250,CXCL1,neutrophil,cell-cytokine
251,CXCL1,monocyte,cell-cytokine
252,CXCL1,macrophage,cell-cytokine
253,CXCL1,osteoclast,cell-cytokine
254,CXCL1,oligodendrocyte,cell-cytokine
255,CXCL1,endothelial cell,cell-cytokine
256,CXCL1,astrocyte,cell-cytokine
257,CXCL1,stem cell,cell-cytokine
258,CXCL1,mature astrocyte,cell-cytokine
259,CXCL1,bladder cell,cell-cytokine
260,CXCL1,endothelial cell of lymphatic vessel,cell-cytokine
261,CXCL1,keratinocyte,cell-cytokine
262,CXCL1,mature neutrophil,cell-cytokine
263,CCL4L2,plasmacytoid dendritic cell,cell-cytokine
264,CCL4L2,macrophage,cell-cytokine
265,CCL4L2,stem cell,cell-cytokine
266,CCL4L2,T cell,cell-cytokine
267,CCL8,leukocyte,cell-cytokine
268,CCL8,keratinocyte,cell-cytokine
269,CCL21,T cell,cell-cytokine
270,CCL21,neuron,cell-cytokine
271,CCL21,leukocyte,cell-cytokine
272,CCL21,endothelial cell of lymphatic vessel,cell-cytokine
273,CCL21,B cell,cell-cytokine
274,CCL21,naive T cell,cell-cytokine
275,CCL21,effector T cell,cell-cytokine
276,CCL21,lymphocyte,cell-cytokine
277,CCL21,"CD4-positive, alpha-beta T cell",cell-cytokine
278,CCL21,microglial cell,cell-cytokine
279,CCL21,stromal cell,cell-cytokine
280,CCL2,monocyte,cell-cytokine
281,CCL2,macrophage,cell-cytokine
282,CCL2,endothelial cell,cell-cytokine
283,CCL2,leukocyte,cell-cytokine
284,CCL2,fibroblast,cell-cytokine
285,CCL2,T cell,cell-cytokine
286,CCL2,fat cell,cell-cytokine
287,CCL2,astrocyte,cell-cytokine
288,CCL2,neutrophil,cell-cytokine
289,CCL2,neuron,cell-cytokine
290,CCL2,mesangial cell,cell-cytokine
291,CCL2,epithelial cell,cell-cytokine
292,CCL2,osteoblast,cell-cytokine
293,CCL2,microglial cell,cell-cytokine
294,CCL2,peritoneal macrophage,cell-cytokine
295,CCL2,osteoclast,cell-cytokine
296,CCL2,hepatocyte,cell-cytokine
297,CCL2,"CD4-positive, alpha-beta T cell",cell-cytokine
298,CCL2,glomerular visceral epithelial cell,cell-cytokine
299,CCL2,epithelial cell of lung,cell-cytokine
300,CCL2,eosinophil,cell-cytokine
301,CCL2,"CD8-positive, alpha-beta T cell",cell-cytokine
302,CCL2,lymphocyte,cell-cytokine
303,CCL2,B cell,cell-cytokine
304,CCL2,mononuclear phagocyte,cell-cytokine
305,CCL2,classical monocyte,cell-cytokine
306,CCL2,neuronal stem cell,cell-cytokine
307,CCL2,T-helper 2 cell,cell-cytokine
308,CCL2,glial cell,cell-cytokine
309,CCL2,hematopoietic stem cell,cell-cytokine
310,CCL2,pain receptor cell,cell-cytokine
311,CCL2,fibrocyte,cell-cytokine
312,CCL2,natural killer cell,cell-cytokine
313,CCL2,stromal cell,cell-cytokine
314,CCL2,epithelial cell of prostate,cell-cytokine
315,CCL2,inflammatory macrophage,cell-cytokine
316,CCL2,keratinocyte,cell-cytokine
317,CCL2,alveolar macrophage,cell-cytokine
318,CCL2,osteocyte,cell-cytokine
319,CCL2,mature astrocyte,cell-cytokine
320,CCL2,platelet,cell-cytokine
321,CCL2,mast cell progenitor,cell-cytokine
322,CCL2,alternatively activated macrophage,cell-cytokine
323,CCL2,endothelial cell of vascular tree,cell-cytokine
324,CCL2,muscle cell,cell-cytokine
325,CCL2,adipose macrophage,cell-cytokine
326,CCL2,mesenchymal cell,cell-cytokine
327,CCL2,mature microglial cell,cell-cytokine
328,CCL2,"CD14-positive, CD16-positive monocyte",cell-cytokine
329,CCL2,T-helper 1 cell,cell-cytokine
330,CCL2,embryonic stem cell,cell-cytokine
331,CCL2,pneumocyte,cell-cytokine
332,CCL2,smooth muscle cell,cell-cytokine
333,CCL2,vascular associated smooth muscle cell,cell-cytokine
334,CCL2,cap cell,cell-cytokine
335,CCL2,bronchial epithelial cell,cell-cytokine
336,CCL2,bladder cell,cell-cytokine
337,CCL2,mature neutrophil,cell-cytokine
338,CCL2,respiratory epithelial cell,cell-cytokine
339,CCL2,mesothelial cell of peritoneum,cell-cytokine
340,CCL2,neuroblast (sensu Nematoda and Protostomia),cell-cytokine
341,CCL2,stem cell,cell-cytokine
342,CCL2,pancreatic acinar cell,cell-cytokine
343,CCL2,type B pancreatic cell,cell-cytokine
344,CCL2,professional antigen presenting cell,cell-cytokine
345,CCL2,hepatic stellate cell,cell-cytokine
346,CCL2,plasmacytoid dendritic cell,cell-cytokine
347,CCL2,kidney cell,cell-cytokine
348,CCL2,motor neuron,cell-cytokine
349,CCL2,mesothelial cell,cell-cytokine
350,CCL2,Kupffer cell,cell-cytokine
351,CCL2,dendritic cell,cell-cytokine
352,CCL26,eosinophil,cell-cytokine
353,CCL26,T cell,cell-cytokine
354,CCL26,neuron,cell-cytokine
355,CCL26,macrophage,cell-cytokine
356,CCL26,epithelial cell,cell-cytokine
357,CCL26,microglial cell,cell-cytokine
358,CCL26,monocyte,cell-cytokine
359,CCL26,memory T cell,cell-cytokine
360,CCL26,fat cell,cell-cytokine
361,CCL26,retinal ganglion cell,cell-cytokine
362,CCL26,"CD8-positive, alpha-beta memory T cell",cell-cytokine
363,CCL26,pneumocyte,cell-cytokine
364,CCL26,B cell,cell-cytokine
365,CCL26,naive T cell,cell-cytokine
366,CCL26,astrocyte,cell-cytokine
367,CCL26,natural killer cell,cell-cytokine
368,CCL26,glomerular visceral epithelial cell,cell-cytokine
369,CCL26,"CD8-positive, alpha-beta T cell",cell-cytokine
370,CCL26,myeloid cell,cell-cytokine
371,CCL26,T-helper 17 cell,cell-cytokine
372,CCL26,multinucleated giant cell,cell-cytokine
373,CCL26,stem cell,cell-cytokine
374,CCL26,acinar cell of sebaceous gland,cell-cytokine
375,CCL26,T-helper 1 cell,cell-cytokine
376,CCL17,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",cell-cytokine
377,CCL17,"CD4-positive, alpha-beta T cell",cell-cytokine
378,CCL17,Leydig cell,cell-cytokine
379,CCL7,neutrophil,cell-cytokine
380,CCL7,classical monocyte,cell-cytokine
381,CCL7,eosinophil,cell-cytokine
382,CCL7,neuron,cell-cytokine
383,CCL7,leukocyte,cell-cytokine
384,CCL7,B cell,cell-cytokine
385,CCL7,endothelial cell of vascular tree,cell-cytokine
386,CCL7,microglial cell,cell-cytokine
387,CCL7,mature B cell,cell-cytokine
388,CCL7,astrocyte,cell-cytokine
389,CCL20,T-helper 17 cell,cell-cytokine
390,CCL20,lymphocyte,cell-cytokine
391,CCL20,T cell,cell-cytokine
392,CCL20,leukocyte,cell-cytokine
393,CCL20,enterocyte,cell-cytokine
394,CCL20,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",cell-cytokine
395,CCL20,keratinocyte,cell-cytokine
396,CCL20,mammary epithelial cell,cell-cytokine
397,CCL20,osteoblast,cell-cytokine
398,CCL20,fibroblast,cell-cytokine
399,CCL20,"CD8-positive, alpha-beta cytotoxic T cell",cell-cytokine
400,CCL20,intestinal epithelial cell,cell-cytokine
401,CCL20,macrophage,cell-cytokine
402,CCL20,T-helper 9 cell,cell-cytokine
403,CCL20,dendritic cell,cell-cytokine
404,CCL20,neuron,cell-cytokine
405,CCL20,T-helper 1 cell,cell-cytokine
406,CCL20,epithelial cell,cell-cytokine
407,CCL20,B cell,cell-cytokine
408,CCL20,fat cell,cell-cytokine
409,CCL20,hematopoietic stem cell,cell-cytokine
410,CCL20,neutrophil,cell-cytokine
411,CCL20,effector T cell,cell-cytokine
412,CD70,fibroblast,cell-cytokine
413,CD70,B cell,cell-cytokine
414,CD40LG,platelet,cell-cytokine
415,CD40LG,T cell,cell-cytokine
416,CD40LG,B cell,cell-cytokine
417,CD40LG,"CD4-positive, alpha-beta T cell",cell-cytokine
418,CD40LG,dendritic cell,cell-cytokine
419,CD40LG,lymphocyte,cell-cytokine
420,CD40LG,leukocyte,cell-cytokine
421,CD40LG,monocyte,cell-cytokine
422,CD40LG,fibroblast,cell-cytokine
423,CD40LG,"CD8-positive, alpha-beta T cell",cell-cytokine
424,CD40LG,macrophage,cell-cytokine
425,CD40LG,regulatory B cell,cell-cytokine
426,CD40LG,endothelial cell,cell-cytokine
427,CD40LG,eosinophil,cell-cytokine
428,CD40LG,neuron,cell-cytokine
429,CD40LG,T-helper 1 cell,cell-cytokine
430,CD40LG,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",cell-cytokine
431,CD40LG,memory B cell,cell-cytokine
432,CD40LG,myeloblast,cell-cytokine
433,CD40LG,effector T cell,cell-cytokine
434,CD40LG,naive T cell,cell-cytokine
435,CD40LG,B-1a B cell,cell-cytokine
436,CD40LG,marginal zone B cell,cell-cytokine
437,CD40LG,mast cell,cell-cytokine
438,CD40LG,microglial cell,cell-cytokine
439,CD40LG,astrocyte,cell-cytokine
440,CD40LG,natural killer cell,cell-cytokine
441,CD40LG,adult endothelial progenitor cell,cell-cytokine
442,CD40LG,neutrophil,cell-cytokine
443,CD40LG,fat cell,cell-cytokine
444,CD40LG,"CD8-positive, alpha-beta cytotoxic T cell",cell-cytokine
445,CD40LG,regulatory T cell,cell-cytokine
446,CD40LG,aortic endothelial cell,cell-cytokine
447,CD40LG,plasmacytoid dendritic cell,cell-cytokine
448,CD40LG,"CD8-positive, alpha-beta memory T cell",cell-cytokine
449,CCL5,T cell,cell-cytokine
450,CCL5,leukocyte,cell-cytokine
451,CCL5,"CD8-positive, alpha-beta T cell",cell-cytokine
452,CCL5,monocyte,cell-cytokine
453,CCL5,lymphocyte,cell-cytokine
454,CCL5,macrophage,cell-cytokine
455,CCL5,hepatocyte,cell-cytokine
456,CCL5,microglial cell,cell-cytokine
457,CCL5,type B pancreatic cell,cell-cytokine
458,CCL5,B cell,cell-cytokine
459,CCL5,"CD4-positive, alpha-beta intraepithelial T cell",cell-cytokine
460,CCL5,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",cell-cytokine
461,CCL5,effector T cell,cell-cytokine
462,CCL5,stromal cell,cell-cytokine
463,CCL5,platelet,cell-cytokine
464,CCL5,alveolar macrophage,cell-cytokine
465,CCL5,neutrophil,cell-cytokine
466,CCL5,neuron,cell-cytokine
467,CCL5,glial cell,cell-cytokine
468,CCL5,astrocyte,cell-cytokine
469,CCL5,osteoclast,cell-cytokine
470,CCL5,mesenchymal cell,cell-cytokine
471,CCL5,eosinophil,cell-cytokine
472,CCL5,respiratory epithelial cell,cell-cytokine
473,CCL5,mast cell,cell-cytokine
474,CCL5,cardiac muscle cell,cell-cytokine
475,CCL19,macrophage,cell-cytokine
476,CCL19,T cell,cell-cytokine
477,CCL19,T-helper 1 cell,cell-cytokine
478,CCL19,natural killer cell,cell-cytokine
479,CCL19,eosinophil,cell-cytokine
480,CCL1,"CD4-positive, alpha-beta T cell",cell-cytokine
481,CCL1,lymphocyte,cell-cytokine
482,CCL1,T cell,cell-cytokine
483,CCL1,macrophage,cell-cytokine
484,CCL1,mast cell,cell-cytokine
485,CCL1,embryonic stem cell,cell-cytokine
486,CCL1,T-helper 2 cell,cell-cytokine
487,CCL27,keratinocyte,cell-cytokine
488,CCL27,T cell,cell-cytokine
489,CCL27,"CD4-positive, alpha-beta T cell",cell-cytokine
490,CCL27,stem cell,cell-cytokine
491,CCL27,leukocyte,cell-cytokine
492,CCL22,macrophage,cell-cytokine
493,CCL22,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",cell-cytokine
494,CCL22,T cell,cell-cytokine
495,CCL22,alveolar macrophage,cell-cytokine
496,CCL22,plasmacytoid dendritic cell,cell-cytokine
497,CCL22,dendritic cell,cell-cytokine
498,CCL22,T-helper 2 cell,cell-cytokine
499,CCL22,thymocyte,cell-cytokine
500,CCL22,induced T-regulatory cell,cell-cytokine
501,CCL24,eosinophil,cell-cytokine
502,CCL24,trophoblast cell,cell-cytokine
503,CCL25,T cell,cell-cytokine
504,CCL25,thymocyte,cell-cytokine
505,CCL25,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",cell-cytokine
506,CCL25,"CD8-positive, alpha-beta T cell",cell-cytokine
507,CCL25,mesenchymal cell,cell-cytokine
